No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
NOLSM32517531,2,Etching,418.0,1524.0,3635.0,5710.0,71.088,51.107,1.06,6,47,2025-02-20
NOLSM32517532,3,Etching,99.0,1570.0,3653.0,5715.0,72.567,51.898,1.036,6,48,2025-02-20
NOLSM32517533,1,Etching,280.0,1271.0,3641.0,5703.0,70.442,51.662,1.002,6,49,2025-02-20
NOLSM32517534,2,Etching,195.0,1436.0,3651.0,5704.0,71.44,51.315,1.028,6,50,2025-02-20
NOLSM32517535,3,Etching,49.0,1398.0,3633.0,5724.0,71.521,50.996,0.919,6,51,2025-02-20
NOLSM32517536,1,Etching,548.0,1406.0,3682.0,5720.0,71.635,51.478,0.967,6,52,2025-02-20
NOLSM32517537,2,Etching,330.0,1575.0,3657.0,5701.0,71.437,51.427,1.084,6,53,2025-02-20
NOLSM32517538,3,Etching,307.0,1591.0,3659.0,5687.0,70.965,51.605,1.14,6,54,2025-02-20
NOLSM32517539,1,Etching,306.0,1561.0,3668.0,5707.0,71.908,52.0,1.064,26,28,2025-02-20
NOLSM32517540,2,Etching,283.0,1665.0,3663.0,5738.0,71.901,52.347,0.875,26,29,2025-02-20
NOLSM32517541,3,Etching,272.0,1573.0,3668.0,5704.0,72.08,52.195,0.96,26,30,2025-02-20
NOLSM32517542,1,Etching,175.0,1526.0,3667.0,5752.0,72.175,52.394,1.126,26,31,2025-02-20
NOLSM32517543,2,Etching,202.0,1481.0,3663.0,5745.0,72.077,52.401,0.978,26,32,2025-02-20
NOLSM32517544,3,Etching,313.0,1588.0,3665.0,5729.0,72.067,52.405,1.288,26,33,2025-02-20
NOLSM32517545,1,Etching,224.0,1441.0,3664.0,5753.0,72.154,52.717,0.903,26,34,2025-02-20
NOLSM32517546,2,Etching,333.0,1441.0,3664.0,5732.0,72.085,52.637,1.063,26,35,2025-02-20
NOLSM32517547,3,Etching,269.0,1402.0,3669.0,5747.0,72.015,52.548,1.114,26,36,2025-02-20
NOLSM32517548,1,Etching,216.0,1485.0,3668.0,5744.0,72.083,52.734,1.1,26,37,2025-02-20
NOLSM32517549,2,Etching,236.0,1492.0,3672.0,5728.0,72.822,52.549,1.186,26,38,2025-02-20
NOLSM32517550,3,Etching,322.0,1445.0,3673.0,5752.0,72.536,52.13,0.851,26,39,2025-02-20
NOLSM32517551,1,Etching,437.0,1545.0,3672.0,5721.0,71.566,52.444,1.132,26,40,2025-02-20
NOLSM32517552,2,Etching,356.0,1520.0,3675.0,5710.0,72.383,52.512,0.966,26,41,2025-02-20
NOLSM32517553,3,Etching,321.0,1562.0,3678.0,5720.0,72.829,52.38,1.013,26,42,2025-02-20
NOLSM32517554,1,Etching,365.0,1501.0,3682.0,5714.0,73.12,52.539,0.921,26,43,2025-02-20
NOLSM32517555,2,Etching,339.0,1449.0,3668.0,5725.0,71.8,52.569,1.053,26,44,2025-02-20
NOLSM32517556,3,Etching,315.0,1518.0,3658.0,5714.0,71.252,52.316,1.233,26,45,2025-02-20
NOLSM32517557,1,Etching,308.0,1437.0,3645.0,5735.0,72.527,52.139,1.009,26,46,2025-02-20
NOLSM32517558,2,Etching,282.0,1543.0,3656.0,5716.0,72.387,52.822,0.978,26,47,2025-02-20
NOLSM32517559,3,Etching,288.0,1459.0,3646.0,5742.0,72.133,52.296,1.16,26,48,2025-02-20
NOLSM32517560,1,Etching,170.0,1457.0,3648.0,5705.0,71.507,52.418,0.952,26,49,2025-02-20
NOLSM32517561,2,Etching,163.0,1436.0,3655.0,5744.0,71.231,52.249,1.148,26,50,2025-02-20
NOLSM32517562,3,Etching,333.0,1431.0,3655.0,5747.0,72.23,52.206,0.939,26,51,2025-02-20
NOLSM32517563,1,Etching,299.0,1517.0,3643.0,5709.0,72.389,52.071,0.957,26,52,2025-02-20
NOLSM32517564,2,Etching,292.0,1397.0,3665.0,5704.0,71.835,52.001,1.232,26,53,2025-02-20
NOLSM32517565,3,Etching,249.0,1375.0,3663.0,5746.0,72.612,51.792,0.962,26,54,2025-02-20
NOLSM32517566,1,Etching,372.0,1450.0,3643.0,5717.0,72.395,51.41,0.975,6,1,2025-02-20
NOLSM32517567,2,Etching,366.0,1534.0,3654.0,5699.0,71.251,50.592,1.152,6,2,2025-02-20
NOLSM32517568,3,Etching,302.0,1603.0,3630.0,5714.0,71.46,50.919,0.784,6,3,2025-02-20
NOLSM32517569,3,Etching,570.0,1423.0,3685.0,5703.0,71.354,52.366,1.045,6,4,2025-02-20
NOLSM32517570,2,Etching,359.0,1522.0,3660.0,5715.0,70.571,51.444,1.199,6,5,2025-02-20
NOLSM32517571,1,Etching,434.0,1477.0,3663.0,5718.0,71.265,50.987,1.044,6,6,2025-02-20
NOLSM32517572,1,Etching,450.0,1448.0,3659.0,5735.0,72.113,50.811,1.053,6,7,2025-02-20
NOLSM32517573,2,Etching,363.0,1519.0,3643.0,5689.0,70.179,52.308,1.181,6,8,2025-02-20
NOLSM32517574,3,Etching,147.0,1470.0,3659.0,5714.0,70.361,51.136,0.923,6,9,2025-02-20
NOLSM32517575,3,Etching,353.0,1489.0,3666.0,5723.0,70.65,50.98,0.82,6,10,2025-02-20
NOLSM32517576,2,Etching,289.0,1537.0,3669.0,5707.0,72.222,50.901,1.01,6,11,2025-02-20
NOLSM32517577,1,Etching,204.0,1636.0,3673.0,5669.0,71.413,51.507,1.123,6,12,2025-02-20
NOLSM32517578,1,Etching,415.0,1635.0,3650.0,5698.0,70.128,50.534,1.233,6,13,2025-02-20
NOLSM32517579,2,Etching,343.0,1495.0,3635.0,5718.0,69.557,51.249,0.956,6,14,2025-02-20
NOLSM32517580,3,Etching,313.0,1402.0,3671.0,5692.0,71.836,50.533,1.061,6,15,2025-02-20
NOLSM32517581,3,Etching,157.0,1343.0,3642.0,5711.0,70.814,51.367,0.87,6,16,2025-02-20
NOLSM32517582,2,Etching,362.0,1487.0,3634.0,5737.0,70.45,51.482,1.135,6,17,2025-02-20
NOLSM32517583,1,Etching,386.0,1242.0,3672.0,5719.0,69.765,51.674,1.067,6,18,2025-02-20
NOLSM32517584,1,Etching,470.0,1520.0,3644.0,5718.0,68.948,50.901,1.155,6,19,2025-02-20
NOLSM32517585,2,Etching,418.0,1524.0,3635.0,5710.0,71.434,51.211,1.099,6,20,2025-02-20
NOLSM32517586,3,Etching,99.0,1570.0,3653.0,5715.0,72.419,50.956,1.025,6,21,2025-02-20
NOLSM32517587,2,Etching,280.0,1271.0,3641.0,5703.0,70.599,50.145,0.896,6,22,2025-02-20
NOLSM32517588,1,Etching,195.0,1436.0,3651.0,5704.0,71.359,50.413,1.045,6,23,2025-02-20
NOLSM32517589,1,Etching,49.0,1398.0,3633.0,5724.0,71.361,50.295,1.084,6,24,2025-02-20
NOLSM32517590,2,Etching,548.0,1406.0,3682.0,5720.0,71.373,50.773,1.055,6,25,2025-02-20
NOLSM32517591,3,Etching,330.0,1575.0,3657.0,5701.0,71.397,51.262,1.178,6,26,2025-02-20
NOLSM32517592,3,Etching,307.0,1591.0,3659.0,5687.0,71.217,51.56,1.179,6,27,2025-02-20
NOLSM32517593,3,Etching,306.0,1507.0,3668.0,5707.0,71.84,52.217,1.072,26,1,2025-02-20
NOLSM32517594,1,Etching,283.0,1397.0,3663.0,5738.0,71.995,52.186,1.124,26,2,2025-02-20
NOLSM32517595,1,Etching,272.0,1579.0,3668.0,5704.0,72.064,52.172,1.039,26,3,2025-02-20
NOLSM32517596,2,Etching,285.0,1427.0,3667.0,5752.0,71.878,52.384,0.937,26,4,2025-02-20
NOLSM32517597,3,Etching,201.0,1485.0,3663.0,5745.0,72.026,52.32,0.922,26,5,2025-02-20
NOLSM32517598,3,Etching,306.0,1404.0,3665.0,5729.0,72.093,52.291,0.926,26,6,2025-02-20
NOLSM32517599,2,Etching,233.0,1436.0,3664.0,5753.0,72.15,52.804,0.965,26,7,2025-02-20
NOLSM32517600,1,Etching,245.0,1420.0,3664.0,5732.0,72.001,52.564,0.927,26,8,2025-02-20
NOLSM32517601,1,Etching,341.0,1423.0,3669.0,5747.0,72.189,52.638,1.054,26,9,2025-02-20
NOLSM32517602,2,Etching,251.0,1485.0,3668.0,5744.0,72.206,52.518,1.209,26,10,2025-02-20
NOLSM32517603,3,Etching,301.0,1492.0,3672.0,5728.0,72.813,52.565,1.209,26,11,2025-02-20
NOLSM32517604,3,Etching,322.0,1445.0,3673.0,5752.0,72.662,52.388,1.113,26,12,2025-02-20
NOLSM32517605,2,Etching,437.0,1545.0,3672.0,5721.0,71.475,52.532,1.153,26,13,2025-02-20
NOLSM32517606,1,Etching,356.0,1520.0,3675.0,5710.0,72.506,52.519,1.149,26,14,2025-02-20
NOLSM32517607,1,Etching,321.0,1562.0,3678.0,5720.0,72.768,52.336,1.007,26,15,2025-02-20
NOLSM32517608,2,Etching,365.0,1501.0,3682.0,5714.0,73.063,52.49,0.957,26,16,2025-02-20
NOLSM32517609,3,Etching,339.0,1449.0,3668.0,5725.0,71.871,52.382,1.052,26,17,2025-02-20
NOLSM32517610,3,Etching,315.0,1518.0,3657.0,5714.0,70.968,52.257,1.138,26,18,2025-02-20
NOLSM32517611,2,Etching,308.0,1437.0,3674.0,5735.0,72.467,52.382,1.153,26,19,2025-02-20
NOLSM32517612,1,Etching,282.0,1543.0,3668.0,5716.0,72.537,52.789,1.115,26,20,2025-02-20
NOLSM32517613,1,Etching,288.0,1459.0,3671.0,5742.0,72.162,52.354,0.956,26,21,2025-02-20
NOLSM32517614,2,Etching,170.0,1457.0,3658.0,5705.0,71.753,52.314,1.005,26,22,2025-02-20
NOLSM32517615,3,Etching,163.0,1436.0,3656.0,5744.0,71.309,52.288,1.213,26,23,2025-02-20
NOLSM32517616,3,Etching,333.0,1431.0,3665.0,5747.0,72.014,52.16,1.222,26,24,2025-02-20
NOLSM32517617,2,Etching,299.0,1517.0,3674.0,5709.0,72.72,51.971,1.013,26,25,2025-02-20
NOLSM32517618,1,Etching,292.0,1397.0,3665.0,5704.0,71.517,52.15,1.074,26,26,2025-02-20
NOLSM32517619,1,Etching,249.0,1375.0,3663.0,5746.0,72.532,51.59,1.118,26,27,2025-02-20
NOLSM32517620,1,Etching,362.0,1555.0,3658.0,5684.0,72.635,51.347,0.967,7,28,2025-02-21
NOLSM32517621,2,Etching,180.0,1438.0,3638.0,5720.0,72.49,50.372,1.212,7,29,2025-02-21
NOLSM32517622,3,Etching,397.0,1530.0,3655.0,5713.0,71.411,50.951,1.089,7,30,2025-02-21
NOLSM32517623,1,Etching,228.0,1479.0,3666.0,5697.0,68.952,51.126,1.157,7,31,2025-02-21
NOLSM32517624,2,Etching,256.0,1483.0,3657.0,5703.0,69.767,51.576,1.07,7,32,2025-02-21
NOLSM32517625,3,Etching,372.0,1546.0,3649.0,5719.0,71.446,51.729,1.037,7,33,2025-02-21
NOLSM32517626,1,Etching,374.0,1518.0,3624.0,5686.0,70.291,52.008,1.104,7,34,2025-02-21
NOLSM32517627,2,Etching,287.0,1411.0,3698.0,5709.0,70.324,52.247,1.036,7,35,2025-02-21
NOLSM32517628,3,Etching,230.0,1442.0,3644.0,5716.0,70.785,51.461,1.045,7,36,2025-02-21
NOLSM32517629,1,Etching,521.0,1493.0,3666.0,5746.0,70.613,51.016,1.015,7,37,2025-02-21
NOLSM32517630,2,Etching,378.0,1586.0,3645.0,5705.0,71.36,50.701,1.018,7,38,2025-02-21
NOLSM32517631,3,Etching,333.0,1598.0,3653.0,5716.0,71.513,51.267,1.13,7,39,2025-02-21
NOLSM32517632,1,Etching,409.0,1421.0,3663.0,5726.0,70.729,51.792,1.132,7,40,2025-02-21
NOLSM32517633,2,Etching,359.0,1339.0,3654.0,5716.0,69.486,51.481,1.091,7,41,2025-02-21
NOLSM32517634,3,Etching,171.0,1312.0,3660.0,5721.0,69.797,50.3,0.968,7,42,2025-02-21
NOLSM32517635,1,Etching,265.0,1428.0,3642.0,5692.0,70.333,51.179,0.905,7,43,2025-02-21
NOLSM32517636,2,Etching,366.0,1284.0,3652.0,5724.0,69.621,52.021,1.02,7,44,2025-02-21
NOLSM32517637,3,Etching,635.0,1484.0,3642.0,5723.0,71.892,51.307,1.04,7,45,2025-02-21
NOLSM32517638,1,Etching,417.0,1562.0,3654.0,5723.0,71.051,51.792,1.024,7,46,2025-02-21
NOLSM32517639,2,Etching,357.0,1482.0,3677.0,5740.0,69.205,50.9,1.032,7,47,2025-02-21
NOLSM32517640,3,Etching,315.0,1520.0,3644.0,5699.0,70.839,51.268,1.075,7,48,2025-02-21
NOLSM32517641,1,Etching,369.0,1284.0,3690.0,5729.0,71.052,50.754,1.149,7,49,2025-02-21
NOLSM32517642,2,Etching,496.0,1511.0,3641.0,5737.0,71.063,50.901,0.795,7,50,2025-02-21
NOLSM32517643,3,Etching,348.0,1429.0,3639.0,5710.0,71.317,50.768,0.915,7,51,2025-02-21
NOLSM32517644,1,Etching,182.0,1516.0,3672.0,5698.0,71.311,50.743,0.97,7,52,2025-02-21
NOLSM32517645,2,Etching,596.0,1449.0,3660.0,5743.0,71.083,50.598,1.152,7,53,2025-02-21
NOLSM32517646,3,Etching,491.0,1598.0,3693.0,5740.0,71.225,51.332,0.969,7,54,2025-02-21
NOLSM32517647,1,Etching,,,,,72.378,51.756,1.036,27,28,2025-02-21
NOLSM32517648,2,Etching,172.0,1360.0,3659.0,5708.0,71.87,51.716,1.06,27,29,2025-02-21
NOLSM32517649,3,Etching,288.0,1435.0,3658.0,5705.0,71.924,52.167,1.115,27,30,2025-02-21
NOLSM32517650,1,Etching,243.0,1407.0,3665.0,5728.0,72.056,51.902,0.967,27,31,2025-02-21
NOLSM32517651,2,Etching,266.0,1584.0,3655.0,5732.0,71.761,51.189,1.051,27,32,2025-02-21
NOLSM32517652,3,Etching,213.0,1511.0,3645.0,5715.0,71.283,51.189,1.056,27,33,2025-02-21
NOLSM32517653,1,Etching,248.0,1439.0,3646.0,5733.0,71.153,50.903,0.899,27,34,2025-02-21
NOLSM32517654,2,Etching,262.0,1523.0,3649.0,5709.0,71.228,51.077,1.008,27,35,2025-02-21
NOLSM32517655,3,Etching,307.0,1452.0,3650.0,5686.0,71.086,51.069,1.013,27,36,2025-02-21
NOLSM32517656,1,Etching,249.0,1417.0,3649.0,5726.0,71.712,50.89,1.106,27,37,2025-02-21
NOLSM32517657,2,Etching,167.0,1420.0,3640.0,5705.0,71.13,51.06,0.857,27,38,2025-02-21
NOLSM32517658,3,Etching,252.0,1476.0,3643.0,5696.0,71.092,51.147,0.907,27,39,2025-02-21
NOLSM32517659,1,Etching,238.0,1439.0,3647.0,5691.0,71.451,51.031,1.014,27,40,2025-02-21
NOLSM32517660,2,Etching,136.0,1352.0,3639.0,5684.0,70.981,51.313,1.047,27,41,2025-02-21
NOLSM32517661,3,Etching,147.0,1362.0,3644.0,5733.0,71.639,50.939,1.14,27,42,2025-02-21
NOLSM32517662,1,Etching,149.0,1329.0,3645.0,5732.0,71.741,51.112,1.096,27,43,2025-02-21
NOLSM32517663,2,Etching,186.0,1362.0,3641.0,5725.0,71.059,50.783,1.035,27,44,2025-02-21
NOLSM32517664,3,Etching,316.0,1361.0,3655.0,5710.0,71.905,50.829,0.942,27,45,2025-02-21
NOLSM32517665,1,Etching,228.0,1542.0,3656.0,5741.0,71.72,51.152,1.109,27,46,2025-02-21
NOLSM32517666,2,Etching,227.0,1495.0,3653.0,5706.0,71.945,51.184,1.086,27,47,2025-02-21
NOLSM32517667,3,Etching,231.0,1378.0,3655.0,5706.0,72.163,51.12,1.116,27,48,2025-02-21
NOLSM32517668,1,Etching,242.0,1366.0,3650.0,5739.0,71.702,51.049,1.04,27,49,2025-02-21
NOLSM32517669,2,Etching,221.0,1465.0,3650.0,5693.0,72.045,51.098,1.12,27,50,2025-02-21
NOLSM32517670,3,Etching,176.0,1431.0,3647.0,5696.0,71.678,51.136,1.036,27,51,2025-02-21
NOLSM32517671,1,Etching,361.0,1420.0,3661.0,5726.0,72.562,51.355,0.994,27,52,2025-02-21
NOLSM32517672,2,Etching,275.0,1434.0,3656.0,5702.0,72.018,51.062,1.184,27,53,2025-02-21
NOLSM32517673,3,Etching,140.0,1374.0,3644.0,5731.0,71.395,51.385,1.05,27,54,2025-02-21
NOLSM32517674,2,Etching,362.0,1555.0,3658.0,5684.0,72.269,51.602,1.006,7,1,2025-02-21
NOLSM32517675,1,Etching,180.0,1438.0,3638.0,5720.0,72.203,50.379,0.734,7,2,2025-02-21
NOLSM32517676,1,Etching,397.0,1530.0,3655.0,5713.0,71.497,51.137,1.051,7,3,2025-02-21
NOLSM32517677,2,Etching,228.0,1479.0,3666.0,5697.0,68.895,51.051,1.133,7,4,2025-02-21
NOLSM32517678,3,Etching,256.0,1483.0,3657.0,5703.0,69.73,51.653,0.965,7,5,2025-02-21
NOLSM32517679,3,Etching,372.0,1546.0,3649.0,5719.0,71.32,52.056,1.076,7,6,2025-02-21
NOLSM32517680,2,Etching,374.0,1518.0,3624.0,5686.0,70.396,51.73,0.86,7,7,2025-02-21
NOLSM32517681,1,Etching,287.0,1411.0,3698.0,5709.0,70.433,52.181,1.002,7,8,2025-02-21
NOLSM32517682,1,Etching,230.0,1442.0,3644.0,5716.0,70.945,51.341,1.04,7,9,2025-02-21
NOLSM32517683,2,Etching,521.0,1493.0,3666.0,5746.0,70.332,51.119,1.122,7,10,2025-02-21
NOLSM32517684,3,Etching,378.0,1586.0,3645.0,5705.0,71.709,50.806,1.003,7,11,2025-02-21
NOLSM32517685,2,Etching,333.0,1598.0,3653.0,5716.0,71.55,51.155,1.207,7,12,2025-02-21
NOLSM32517686,1,Etching,409.0,1421.0,3663.0,5726.0,70.618,51.79,1.154,7,13,2025-02-21
NOLSM32517687,1,Etching,359.0,1339.0,3654.0,5716.0,69.667,51.516,0.822,7,14,2025-02-21
NOLSM32517688,3,Etching,171.0,1312.0,3660.0,5721.0,69.86,50.391,0.947,7,15,2025-02-21
NOLSM32517689,3,Etching,265.0,1428.0,3642.0,5692.0,70.545,51.194,1.02,7,16,2025-02-21
NOLSM32517690,1,Etching,366.0,1284.0,3652.0,5724.0,69.788,52.043,1.004,7,17,2025-02-21
NOLSM32517691,1,Etching,635.0,1484.0,3642.0,5723.0,71.691,51.3,1.005,7,18,2025-02-21
NOLSM32517692,2,Etching,417.0,1562.0,3654.0,5723.0,71.095,51.759,1.083,7,19,2025-02-21
NOLSM32517693,3,Etching,357.0,1482.0,3677.0,5740.0,69.526,51.086,1.084,7,20,2025-02-21
NOLSM32517694,3,Etching,315.0,1520.0,3644.0,5699.0,70.915,51.504,0.942,7,21,2025-02-21
NOLSM32517695,2,Etching,369.0,1284.0,3690.0,5729.0,72.459,50.847,1.112,7,22,2025-02-21
NOLSM32517696,1,Etching,496.0,1511.0,3641.0,5737.0,69.148,50.655,0.901,7,23,2025-02-21
NOLSM32517697,1,Etching,348.0,1429.0,3639.0,5710.0,69.763,50.61,0.987,7,24,2025-02-21
NOLSM32517698,2,Etching,182.0,1516.0,3672.0,5698.0,70.709,50.983,1.002,7,25,2025-02-21
NOLSM32517699,3,Etching,596.0,1449.0,3660.0,5743.0,71.381,50.764,0.942,7,26,2025-02-21
NOLSM32517700,3,Etching,491.0,1598.0,3693.0,5740.0,69.428,51.147,0.957,7,27,2025-02-21
NOLSM32517701,2,Etching,,,,,72.21,51.835,1.06,27,1,2025-02-21
NOLSM32517702,3,Etching,172.0,1360.0,3659.0,5708.0,71.666,51.957,0.961,27,2,2025-02-21
NOLSM32517703,3,Etching,288.0,1435.0,3658.0,5705.0,71.645,51.947,0.913,27,3,2025-02-21
NOLSM32517704,2,Etching,243.0,1407.0,3665.0,5728.0,71.966,51.996,0.923,27,4,2025-02-21
NOLSM32517705,1,Etching,266.0,1584.0,3655.0,5732.0,71.784,51.045,0.947,27,5,2025-02-21
NOLSM32517706,1,Etching,213.0,1511.0,3645.0,5715.0,71.299,51.289,1.106,27,6,2025-02-21
NOLSM32517707,2,Etching,248.0,1439.0,3646.0,5733.0,71.068,50.856,1.093,27,7,2025-02-21
NOLSM32517708,3,Etching,262.0,1523.0,3649.0,5709.0,71.239,51.14,1.25,27,8,2025-02-21
NOLSM32517709,3,Etching,307.0,1452.0,3650.0,5686.0,71.343,50.882,1.027,27,9,2025-02-21
NOLSM32517710,2,Etching,249.0,1417.0,3649.0,5726.0,71.599,50.998,0.954,27,10,2025-02-21
NOLSM32517711,1,Etching,167.0,1420.0,3640.0,5705.0,70.99,51.035,0.953,27,11,2025-02-21
NOLSM32517712,1,Etching,252.0,1476.0,3643.0,5696.0,71.163,51.225,0.95,27,12,2025-02-21
NOLSM32517713,2,Etching,238.0,1439.0,3647.0,5691.0,71.44,51.226,1.061,27,13,2025-02-21
NOLSM32517714,3,Etching,136.0,1352.0,3639.0,5684.0,71.072,51.404,1.27,27,14,2025-02-21
NOLSM32517715,3,Etching,147.0,1362.0,3644.0,5733.0,71.409,51.18,0.936,27,15,2025-02-21
NOLSM32517716,1,Etching,149.0,1329.0,3645.0,5732.0,71.48,51.152,1.036,27,16,2025-02-21
NOLSM32517717,1,Etching,186.0,1362.0,3641.0,5725.0,71.204,51.049,1.274,27,17,2025-02-21
NOLSM32517718,2,Etching,316.0,1361.0,3655.0,5710.0,72.037,50.909,0.901,27,18,2025-02-21
NOLSM32517719,3,Etching,228.0,1542.0,3656.0,5741.0,71.738,50.925,0.932,27,19,2025-02-21
NOLSM32517720,1,Etching,227.0,1495.0,3653.0,5706.0,72.058,51.185,1.036,27,20,2025-02-21
NOLSM32517721,1,Etching,231.0,1378.0,3655.0,5706.0,72.148,51.06,1.173,27,21,2025-02-21
NOLSM32517722,2,Etching,242.0,1366.0,3650.0,5739.0,71.92,51.064,1.196,27,22,2025-02-21
NOLSM32517723,3,Etching,221.0,1465.0,3650.0,5693.0,71.919,51.088,1.021,27,23,2025-02-21
NOLSM32517724,3,Etching,176.0,1431.0,3647.0,5696.0,71.79,51.207,1.008,27,24,2025-02-21
NOLSM32517725,2,Etching,361.0,1420.0,3661.0,5726.0,72.528,51.04,0.988,27,25,2025-02-21
NOLSM32517726,1,Etching,275.0,1434.0,3656.0,5702.0,71.937,51.271,1.089,27,26,2025-02-21
NOLSM32517727,1,Etching,140.0,1374.0,3644.0,5731.0,71.562,51.35,1.021,27,27,2025-02-21
NOLSM32517728,1,Etching,362.0,1531.0,3690.0,5718.0,71.281,51.511,0.9,8,28,2025-02-22
NOLSM32517729,2,Etching,363.0,1373.0,3644.0,5726.0,71.238,51.604,0.798,8,29,2025-02-22
NOLSM32517730,3,Etching,430.0,1429.0,3642.0,5713.0,71.121,51.265,0.957,8,30,2025-02-22
NOLSM32517731,1,Etching,208.0,1474.0,3667.0,5717.0,71.287,51.945,0.941,8,31,2025-02-22
NOLSM32517732,2,Etching,213.0,1549.0,3662.0,5712.0,71.041,51.065,1.083,8,32,2025-02-22
NOLSM32517733,3,Etching,447.0,1510.0,3656.0,5714.0,71.251,51.821,0.97,8,33,2025-02-22
NOLSM32517734,1,Etching,457.0,1432.0,3654.0,5693.0,71.449,51.907,0.971,8,34,2025-02-22
NOLSM32517735,2,Etching,509.0,1345.0,3636.0,5698.0,71.284,50.93,1.231,8,35,2025-02-22
NOLSM32517736,3,Etching,462.0,1471.0,3633.0,5707.0,72.054,51.095,1.061,8,36,2025-02-22
NOLSM32517737,1,Etching,315.0,1381.0,3657.0,5722.0,71.562,50.852,1.081,8,37,2025-02-22
NOLSM32517738,2,Etching,343.0,1564.0,3654.0,5704.0,71.218,51.187,1.044,8,38,2025-02-22
NOLSM32517739,3,Etching,369.0,1601.0,3646.0,5699.0,71.553,51.364,0.973,8,39,2025-02-22
NOLSM32517740,1,Etching,418.0,1431.0,3662.0,5695.0,70.399,51.276,0.953,8,40,2025-02-22
NOLSM32517741,2,Etching,401.0,1451.0,3671.0,5703.0,71.138,52.416,1.155,8,41,2025-02-22
NOLSM32517742,3,Etching,314.0,1518.0,3653.0,5736.0,71.196,51.281,1.037,8,42,2025-02-22
NOLSM32517743,1,Etching,331.0,1359.0,3684.0,5735.0,70.463,50.462,1.064,8,43,2025-02-22
NOLSM32517744,2,Etching,264.0,1443.0,3702.0,5728.0,71.843,51.158,1.015,8,44,2025-02-22
NOLSM32517745,3,Etching,287.0,1445.0,3660.0,5724.0,69.145,51.504,0.746,8,45,2025-02-22
NOLSM32517746,1,Etching,361.0,1455.0,3656.0,5714.0,70.927,51.186,1.052,8,46,2025-02-22
NOLSM32517747,2,Etching,452.0,1522.0,3640.0,5730.0,71.489,51.106,1.248,8,47,2025-02-22
NOLSM32517748,3,Etching,343.0,1380.0,3668.0,5694.0,71.076,50.218,0.948,8,48,2025-02-22
NOLSM32517749,1,Etching,468.0,1536.0,3693.0,5700.0,72.15,50.505,0.709,8,49,2025-02-22
NOLSM32517750,2,Etching,-49.0,1435.0,3665.0,5738.0,69.975,50.406,0.997,8,50,2025-02-22
NOLSM32517751,3,Etching,351.0,1415.0,3636.0,5707.0,70.317,51.626,1.089,8,51,2025-02-22
NOLSM32517752,1,Etching,378.0,1382.0,3643.0,5715.0,70.367,51.75,1.154,8,52,2025-02-22
NOLSM32517753,2,Etching,364.0,1526.0,3644.0,5720.0,70.461,51.284,1.143,8,53,2025-02-22
NOLSM32517754,3,Etching,241.0,1443.0,3641.0,5728.0,71.772,52.034,0.977,8,54,2025-02-22
NOLSM32517755,1,Etching,234.0,1398.0,3656.0,5745.0,72.286,51.427,0.867,28,28,2025-02-22
NOLSM32517756,2,Etching,209.0,1439.0,3651.0,5698.0,72.219,51.747,0.898,28,29,2025-02-22
NOLSM32517757,3,Etching,269.0,1437.0,3651.0,5702.0,71.792,51.215,0.824,28,30,2025-02-22
NOLSM32517758,1,Etching,261.0,1617.0,3661.0,5731.0,72.342,51.089,0.934,28,31,2025-02-22
NOLSM32517759,2,Etching,312.0,1563.0,3657.0,5708.0,71.749,51.309,1.068,28,32,2025-02-22
NOLSM32517760,3,Etching,265.0,1320.0,3655.0,5694.0,72.142,51.47,1.049,28,33,2025-02-22
NOLSM32517761,1,Etching,210.0,1476.0,3655.0,5716.0,71.928,51.941,1.097,28,34,2025-02-22
NOLSM32517762,2,Etching,202.0,1433.0,3649.0,5727.0,71.889,51.851,0.849,28,35,2025-02-22
NOLSM32517763,3,Etching,317.0,1709.0,3670.0,5722.0,72.619,51.727,1.06,28,36,2025-02-22
NOLSM32517764,1,Etching,162.0,1468.0,3652.0,5717.0,71.981,51.662,1.027,28,37,2025-02-22
NOLSM32517765,2,Etching,150.0,1466.0,3648.0,5711.0,71.834,51.454,0.964,28,38,2025-02-22
NOLSM32517766,3,Etching,249.0,1390.0,3662.0,5737.0,72.444,51.454,1.174,28,39,2025-02-22
NOLSM32517767,1,Etching,237.0,1561.0,3664.0,5739.0,72.78,51.311,0.845,28,40,2025-02-22
NOLSM32517768,2,Etching,257.0,1665.0,3656.0,5724.0,72.245,51.591,0.979,28,41,2025-02-22
NOLSM32517769,3,Etching,285.0,1573.0,3669.0,5713.0,72.819,51.181,1.085,28,42,2025-02-22
NOLSM32517770,1,Etching,307.0,1526.0,3668.0,5706.0,72.798,51.301,1.25,28,43,2025-02-22
NOLSM32517771,2,Etching,319.0,1481.0,3658.0,5712.0,71.23,51.045,0.968,28,44,2025-02-22
NOLSM32517772,3,Etching,169.0,1588.0,3658.0,5731.0,72.705,51.119,1.075,28,45,2025-02-22
NOLSM32517773,1,Etching,269.0,1441.0,3645.0,5730.0,71.78,51.402,0.939,28,46,2025-02-22
NOLSM32517774,2,Etching,233.0,1441.0,3656.0,5709.0,72.158,51.343,1.125,28,47,2025-02-22
