No_Die,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Lot_Num,Wafer_Num,Datetime
NOLSM32514283,1,photo_li,12.644,G,436,507.795,103.383,7,18,2025-01-19
NOLSM32514284,2,photo_li,39.591,I,365,498.251,107.2,7,19,2025-01-19
NOLSM32514285,3,photo_li,40.02,H,405,486.934,108.145,7,20,2025-01-19
NOLSM32514286,1,photo_li,48.549,G,436,478.958,108.12,7,21,2025-01-19
NOLSM32514287,2,photo_li,60.941,I,365,524.983,108.768,7,22,2025-01-19
NOLSM32514288,3,photo_li,47.021,I,365,504.853,108.296,7,23,2025-01-19
NOLSM32514289,1,photo_li,41.694,I,365,548.953,107.669,7,24,2025-01-19
NOLSM32514290,2,photo_li,38.596,H,405,512.454,107.775,7,25,2025-01-19
NOLSM32514291,3,photo_li,34.379,I,365,539.6,106.672,7,26,2025-01-19
NOLSM32514292,1,photo_li,41.999,I,365,494.158,108.947,7,27,2025-01-19
NOLSM32514293,2,photo_li,,H,405,,,27,1,2025-01-19
NOLSM32514294,3,photo_li,50.555,H,405,495.767,109.529,27,2,2025-01-19
NOLSM32514295,1,photo_li,46.0,H,405,501.49,110.28,27,3,2025-01-19
NOLSM32514296,2,photo_li,46.587,H,405,508.439,109.818,27,4,2025-01-19
NOLSM32514297,3,photo_li,58.524,H,405,507.924,108.148,27,5,2025-01-19
NOLSM32514298,1,photo_li,53.879,H,405,511.143,108.205,27,6,2025-01-19
NOLSM32514299,2,photo_li,58.597,H,405,506.805,108.0,27,7,2025-01-19
NOLSM32514300,3,photo_li,62.924,H,405,523.418,107.355,27,8,2025-01-19
NOLSM32514301,1,photo_li,60.605,H,405,516.47,107.446,27,9,2025-01-19
NOLSM32514302,2,photo_li,64.955,H,405,521.609,107.065,27,10,2025-01-19
NOLSM32514303,3,photo_li,62.983,H,405,521.612,107.352,27,11,2025-01-19
NOLSM32514304,1,photo_li,60.709,H,405,521.478,107.171,27,12,2025-01-19
NOLSM32514305,2,photo_li,54.381,H,405,509.666,108.629,27,13,2025-01-19
NOLSM32514306,3,photo_li,58.977,H,405,519.939,108.378,27,14,2025-01-19
NOLSM32514307,1,photo_li,58.095,H,405,520.822,107.8,27,15,2025-01-19
NOLSM32514308,3,photo_li,61.046,H,405,521.358,107.793,27,16,2025-01-19
NOLSM32514309,1,photo_li,62.842,H,405,507.852,107.005,27,17,2025-01-19
NOLSM32514310,2,photo_li,55.154,H,405,509.19,108.456,27,18,2025-01-19
NOLSM32514311,1,photo_li,57.757,H,405,516.089,107.682,27,19,2025-01-19
NOLSM32514312,3,photo_li,60.226,H,405,520.12,107.738,27,20,2025-01-19
NOLSM32514313,1,photo_li,53.142,H,405,508.788,108.4,27,21,2025-01-19
NOLSM32514314,2,photo_li,60.725,H,405,520.652,107.786,27,22,2025-01-19
NOLSM32514315,3,photo_li,60.87,H,405,516.534,107.667,27,23,2025-01-19
NOLSM32514316,1,photo_li,56.848,H,405,505.211,107.892,27,24,2025-01-19
NOLSM32514317,2,photo_li,61.046,H,405,519.956,107.786,27,25,2025-01-19
NOLSM32514318,3,photo_li,60.963,H,405,518.985,107.78,27,26,2025-01-19
NOLSM32514319,1,photo_li,54.133,H,405,513.191,108.314,27,27,2025-01-19
NOLSM32514320,1,photo_li,46.96,G,436,561.763,107.693,8,28,2025-01-13
NOLSM32514321,1,photo_li,33.508,I,365,517.483,109.333,8,29,2025-01-13
NOLSM32514322,1,photo_li,40.976,I,365,501.888,106.109,8,30,2025-01-13
NOLSM32514323,1,photo_li,17.885,H,405,496.223,107.154,8,31,2025-01-13
NOLSM32514324,1,photo_li,32.637,H,405,503.107,107.934,8,32,2025-01-13
NOLSM32514325,1,photo_li,38.186,H,405,515.097,108.15,8,33,2025-01-13
NOLSM32514326,1,photo_li,51.683,I,365,493.805,110.146,8,34,2025-01-13
NOLSM32514327,1,photo_li,62.458,I,365,516.211,108.106,8,35,2025-01-13
NOLSM32514328,1,photo_li,25.403,G,436,501.742,109.507,8,36,2025-01-13
NOLSM32514329,2,photo_li,41.211,H,405,523.602,104.79,8,37,2025-01-13
NOLSM32514330,2,photo_li,44.545,H,405,534.614,109.234,8,38,2025-01-13
NOLSM32514331,2,photo_li,54.727,G,436,540.209,106.545,8,39,2025-01-13
NOLSM32514332,2,photo_li,38.723,G,436,546.982,107.457,8,40,2025-01-13
NOLSM32514333,2,photo_li,50.76,I,365,517.627,107.653,8,41,2025-01-13
NOLSM32514334,2,photo_li,40.782,G,436,521.439,107.976,8,42,2025-01-13
NOLSM32514335,2,photo_li,54.593,H,405,524.207,107.62,8,43,2025-01-13
NOLSM32514336,2,photo_li,44.883,G,436,536.484,108.082,8,44,2025-01-13
NOLSM32514337,2,photo_li,46.269,I,365,518.749,105.803,8,45,2025-01-13
NOLSM32514338,3,photo_li,36.36,G,436,509.501,107.309,8,46,2025-01-13
NOLSM32514339,3,photo_li,35.497,G,436,509.363,106.401,8,47,2025-01-13
NOLSM32514340,3,photo_li,35.178,I,365,462.602,107.465,8,48,2025-01-13
NOLSM32514341,3,photo_li,52.565,H,405,508.446,110.113,8,49,2025-01-13
NOLSM32514342,3,photo_li,56.097,H,405,513.029,107.503,8,50,2025-01-13
NOLSM32514343,3,photo_li,46.112,G,436,526.06,108.459,8,51,2025-01-13
NOLSM32514344,3,photo_li,57.38,H,405,566.731,107.674,8,52,2025-01-13
NOLSM32514345,3,photo_li,55.979,H,405,517.05,109.649,8,53,2025-01-13
NOLSM32514346,3,photo_li,45.693,G,436,532.168,110.254,8,54,2025-01-13
NOLSM32514347,1,photo_li,52.089,H,405,482.238,108.814,28,28,2025-01-13
NOLSM32514348,1,photo_li,54.201,H,405,469.879,108.613,28,29,2025-01-13
NOLSM32514349,1,photo_li,54.818,H,405,480.766,108.045,28,30,2025-01-13
NOLSM32514350,1,photo_li,53.645,H,405,471.485,108.689,28,31,2025-01-13
NOLSM32514351,1,photo_li,57.921,H,405,469.375,108.576,28,32,2025-01-13
NOLSM32514352,1,photo_li,47.846,H,405,472.365,109.262,28,33,2025-01-13
NOLSM32514353,1,photo_li,48.108,H,405,470.443,109.373,28,34,2025-01-13
NOLSM32514354,1,photo_li,44.006,I,365,460.764,110.091,28,35,2025-01-13
NOLSM32514355,1,photo_li,55.01,I,365,472.897,109.116,28,36,2025-01-13
NOLSM32514356,2,photo_li,45.478,I,365,474.114,108.857,28,37,2025-01-13
NOLSM32514357,2,photo_li,41.934,I,365,472.155,108.604,28,38,2025-01-13
NOLSM32514358,2,photo_li,48.463,I,365,472.809,108.658,28,39,2025-01-13
NOLSM32514359,2,photo_li,46.852,I,365,477.956,108.352,28,40,2025-01-13
NOLSM32514360,2,photo_li,38.659,I,365,470.233,108.417,28,41,2025-01-13
NOLSM32514361,2,photo_li,46.535,I,365,469.048,108.268,28,42,2025-01-13
NOLSM32514362,2,photo_li,39.809,I,365,469.566,108.385,28,43,2025-01-13
NOLSM32514363,2,photo_li,37.956,I,365,476.399,107.931,28,44,2025-01-13
NOLSM32514364,2,photo_li,43.86,I,365,476.993,107.911,28,45,2025-01-13
NOLSM32514365,3,photo_li,35.688,I,365,464.602,107.855,28,46,2025-01-13
NOLSM32514366,3,photo_li,40.922,I,365,479.146,107.962,28,47,2025-01-13
NOLSM32514367,3,photo_li,45.747,I,365,478.612,107.96,28,48,2025-01-13
NOLSM32514368,3,photo_li,24.236,I,365,463.929,106.116,28,49,2025-01-13
NOLSM32514369,3,photo_li,36.544,I,365,477.968,106.879,28,50,2025-01-13
NOLSM32514370,3,photo_li,30.465,I,365,466.65,107.031,28,51,2025-01-13
NOLSM32514371,3,photo_li,40.901,I,365,471.658,108.047,28,52,2025-01-13
NOLSM32514372,3,photo_li,37.667,I,365,465.457,108.221,28,53,2025-01-13
NOLSM32514373,3,photo_li,24.58,I,365,465.009,106.215,28,54,2025-01-13
NOLSM32514374,2,photo_li,46.997,G,436,561.723,107.913,8,1,2025-01-13
NOLSM32514375,3,photo_li,33.657,I,365,517.572,109.332,8,2,2025-01-13
NOLSM32514376,1,photo_li,41.117,I,365,501.92,106.176,8,3,2025-01-13
NOLSM32514377,2,photo_li,17.629,H,405,496.119,107.187,8,4,2025-01-13
NOLSM32514378,3,photo_li,32.694,H,405,502.694,108.015,8,5,2025-01-13
NOLSM32514379,1,photo_li,38.157,H,405,515.202,108.266,8,6,2025-01-13
NOLSM32514380,2,photo_li,51.491,I,365,493.806,110.205,8,7,2025-01-13
NOLSM32514381,3,photo_li,62.318,I,365,516.312,108.138,8,8,2025-01-13
NOLSM32514382,1,photo_li,25.331,G,436,501.669,109.707,8,9,2025-01-13
NOLSM32514383,2,photo_li,41.339,H,405,523.525,104.666,8,10,2025-01-13
NOLSM32514384,3,photo_li,44.561,H,405,534.241,109.373,8,11,2025-01-13
NOLSM32514385,1,photo_li,54.577,G,436,540.16,106.405,8,12,2025-01-13
NOLSM32514386,2,photo_li,38.862,G,436,546.912,107.636,8,13,2025-01-13
NOLSM32514387,3,photo_li,50.514,I,365,517.768,107.514,8,14,2025-01-13
NOLSM32514388,1,photo_li,40.891,G,436,521.623,108.006,8,15,2025-01-13
NOLSM32514389,3,photo_li,54.4,H,405,524.306,107.541,8,16,2025-01-13
NOLSM32514390,1,photo_li,44.898,G,436,536.532,108.235,8,17,2025-01-13
NOLSM32514391,2,photo_li,46.214,I,365,518.751,105.89,8,18,2025-01-13
NOLSM32514392,3,photo_li,36.418,G,436,509.635,107.24,8,19,2025-01-13
NOLSM32514393,1,photo_li,35.388,G,436,509.473,106.493,8,20,2025-01-13
NOLSM32514394,3,photo_li,35.155,I,365,462.768,107.401,8,21,2025-01-13
NOLSM32514395,1,photo_li,52.464,H,405,508.377,110.048,8,22,2025-01-13
NOLSM32514396,2,photo_li,56.106,H,405,512.736,107.361,8,23,2025-01-13
NOLSM32514397,3,photo_li,45.975,G,436,526.029,108.485,8,24,2025-01-13
NOLSM32514398,1,photo_li,57.248,H,405,566.556,107.794,8,25,2025-01-13
NOLSM32514399,2,photo_li,55.875,H,405,517.05,109.586,8,26,2025-01-13
NOLSM32514400,3,photo_li,45.56,G,436,532.305,110.28,8,27,2025-01-13
NOLSM32514401,2,photo_li,52.093,H,405,518.446,108.747,28,1,2025-01-13
NOLSM32514402,3,photo_li,54.275,H,405,501.148,109.134,28,2,2025-01-13
NOLSM32514403,1,photo_li,55.062,H,405,505.894,107.981,28,3,2025-01-13
NOLSM32514404,2,photo_li,53.883,H,405,521.106,108.569,28,4,2025-01-13
NOLSM32514405,3,photo_li,57.943,H,405,518.903,108.692,28,5,2025-01-13
NOLSM32514406,1,photo_li,47.853,H,405,514.949,109.044,28,6,2025-01-13
NOLSM32514407,2,photo_li,48.014,H,405,510.788,109.291,28,7,2025-01-13
NOLSM32514408,3,photo_li,43.87,I,365,465.069,110.077,28,8,2025-01-13
NOLSM32514409,1,photo_li,55.127,I,365,478.649,109.037,28,9,2025-01-13
NOLSM32514410,2,photo_li,45.442,I,365,472.413,108.671,28,10,2025-01-13
NOLSM32514411,3,photo_li,41.768,I,365,474.537,108.574,28,11,2025-01-13
NOLSM32514412,1,photo_li,48.585,I,365,473.654,108.666,28,12,2025-01-13
NOLSM32514413,2,photo_li,46.829,I,365,478.706,108.494,28,13,2025-01-13
NOLSM32514414,3,photo_li,38.659,I,365,466.045,108.412,28,14,2025-01-13
NOLSM32514415,1,photo_li,46.669,I,365,475.346,108.492,28,15,2025-01-13
NOLSM32514416,2,photo_li,39.686,I,365,467.111,108.453,28,16,2025-01-13
NOLSM32514417,3,photo_li,38.298,I,365,470.234,107.882,28,17,2025-01-13
NOLSM32514418,1,photo_li,43.64,I,365,474.75,107.981,28,18,2025-01-13
NOLSM32514419,2,photo_li,35.794,I,365,464.593,107.987,28,19,2025-01-13
NOLSM32514420,3,photo_li,41.022,I,365,479.187,107.816,28,20,2025-01-13
NOLSM32514421,1,photo_li,45.665,I,365,478.592,107.976,28,21,2025-01-13
NOLSM32514422,2,photo_li,24.113,I,365,463.897,106.006,28,22,2025-01-13
NOLSM32514423,3,photo_li,36.457,I,365,477.985,106.91,28,23,2025-01-13
NOLSM32514424,1,photo_li,30.613,I,365,466.581,106.827,28,24,2025-01-13
NOLSM32514425,2,photo_li,40.716,I,365,471.648,108.087,28,25,2025-01-13
NOLSM32514426,3,photo_li,37.708,I,365,465.2,108.184,28,26,2025-01-13
NOLSM32514427,2,photo_li,24.661,I,365,465.052,106.076,28,27,2025-01-13
NOLSM32514428,1,photo_li,36.722,H,405,516.658,108.551,9,28,2025-01-14
NOLSM32514429,1,photo_li,39.041,H,405,514.947,108.07,9,29,2025-01-14
NOLSM32514430,1,photo_li,37.715,I,365,531.326,107.907,9,30,2025-01-14
NOLSM32514431,1,photo_li,32.623,G,436,506.011,106.368,9,31,2025-01-14
NOLSM32514432,1,photo_li,44.036,G,436,522.584,108.088,9,32,2025-01-14
NOLSM32514433,1,photo_li,53.682,G,436,515.251,109.714,9,33,2025-01-14
NOLSM32514434,1,photo_li,26.943,G,436,473.422,109.924,9,34,2025-01-14
NOLSM32514435,1,photo_li,39.453,G,436,521.588,105.988,9,35,2025-01-14
NOLSM32514436,1,photo_li,39.852,H,405,551.218,108.293,9,36,2025-01-14
NOLSM32514437,2,photo_li,42.297,I,365,567.81,108.359,9,37,2025-01-14
NOLSM32514438,2,photo_li,42.425,H,405,539.231,106.118,9,38,2025-01-14
NOLSM32514439,2,photo_li,52.739,I,365,527.668,108.445,9,39,2025-01-14
NOLSM32514440,2,photo_li,43.118,G,436,543.587,110.184,9,40,2025-01-14
NOLSM32514441,2,photo_li,41.073,I,365,526.932,108.003,9,41,2025-01-14
NOLSM32514442,2,photo_li,8.249,G,436,518.718,104.601,9,42,2025-01-14
NOLSM32514443,2,photo_li,37.514,I,365,506.146,108.618,9,43,2025-01-14
NOLSM32514444,2,photo_li,29.612,I,365,522.153,110.273,9,44,2025-01-14
NOLSM32514445,2,photo_li,23.883,I,365,559.284,105.67,9,45,2025-01-14
NOLSM32514446,3,photo_li,45.155,G,436,536.869,107.925,9,46,2025-01-14
NOLSM32514447,3,photo_li,47.174,I,365,505.319,106.938,9,47,2025-01-14
NOLSM32514448,3,photo_li,34.206,H,405,539.79,108.352,9,48,2025-01-14
NOLSM32514449,3,photo_li,29.49,I,365,514.115,107.986,9,49,2025-01-14
NOLSM32514450,3,photo_li,41.291,G,436,491.93,106.833,9,50,2025-01-14
NOLSM32514451,3,photo_li,33.727,G,436,497.626,106.359,9,51,2025-01-14
NOLSM32514452,3,photo_li,30.015,G,436,521.895,108.329,9,52,2025-01-14
NOLSM32514453,3,photo_li,76.388,H,405,495.489,109.02,9,53,2025-01-14
NOLSM32514454,3,photo_li,35.74,G,436,522.269,105.433,9,54,2025-01-14
NOLSM32514455,1,photo_li,35.63,I,365,474.99,106.993,29,28,2025-01-14
NOLSM32514456,1,photo_li,39.379,I,365,479.372,106.922,29,29,2025-01-14
NOLSM32514457,1,photo_li,30.189,I,365,464.922,107.29,29,30,2025-01-14
NOLSM32514458,1,photo_li,35.11,I,365,472.827,107.159,29,31,2025-01-14
NOLSM32514459,1,photo_li,33.478,I,365,475.919,106.286,29,32,2025-01-14
NOLSM32514460,1,photo_li,23.117,I,365,466.955,105.695,29,33,2025-01-14
NOLSM32514461,1,photo_li,29.128,I,365,470.763,105.828,29,34,2025-01-14
NOLSM32514462,1,photo_li,32.411,I,365,480.565,105.633,29,35,2025-01-14
NOLSM32514463,1,photo_li,20.186,I,365,469.618,104.725,29,36,2025-01-14
NOLSM32514464,2,photo_li,25.239,I,365,474.467,104.567,29,37,2025-01-14
NOLSM32514465,2,photo_li,19.096,I,365,466.854,104.444,29,38,2025-01-14
NOLSM32514466,2,photo_li,17.923,I,365,467.577,104.731,29,39,2025-01-14
NOLSM32514467,2,photo_li,23.717,I,365,468.888,105.023,29,40,2025-01-14
NOLSM32514468,2,photo_li,34.522,I,365,484.838,105.497,29,41,2025-01-14
NOLSM32514469,2,photo_li,28.656,I,365,469.234,106.447,29,42,2025-01-14
NOLSM32514470,2,photo_li,29.793,I,365,473.858,106.239,29,43,2025-01-14
NOLSM32514471,2,photo_li,19.958,I,365,463.696,105.613,29,44,2025-01-14
NOLSM32514472,2,photo_li,36.183,I,365,480.47,106.56,29,45,2025-01-14
NOLSM32514473,3,photo_li,35.21,I,365,470.785,107.264,29,46,2025-01-14
NOLSM32514474,3,photo_li,42.729,I,365,484.862,107.216,29,47,2025-01-14
NOLSM32514475,3,photo_li,38.261,I,365,483.31,106.8,29,48,2025-01-14
NOLSM32514476,3,photo_li,34.657,I,365,474.122,106.615,29,49,2025-01-14
NOLSM32514477,3,photo_li,35.512,I,365,478.413,106.794,29,50,2025-01-14
NOLSM32514478,3,photo_li,39.617,I,365,486.418,106.266,29,51,2025-01-14
NOLSM32514479,3,photo_li,32.161,I,365,474.692,106.215,29,52,2025-01-14
NOLSM32514480,3,photo_li,20.725,I,365,466.056,105.23,29,53,2025-01-14
NOLSM32514481,3,photo_li,31.967,I,365,481.762,105.557,29,54,2025-01-14
NOLSM32514482,1,photo_li,36.431,H,405,516.527,108.3,9,1,2025-01-14
NOLSM32514483,2,photo_li,39.003,H,405,514.985,108.021,9,2,2025-01-14
NOLSM32514484,3,photo_li,37.575,I,365,531.329,107.66,9,3,2025-01-14
NOLSM32514485,1,photo_li,32.54,G,436,505.851,106.3,9,4,2025-01-14
NOLSM32514486,2,photo_li,43.984,G,436,522.534,108.125,9,5,2025-01-14
NOLSM32514487,3,photo_li,53.633,G,436,515.509,109.747,9,6,2025-01-14
NOLSM32514488,1,photo_li,27.253,G,436,473.409,110.044,9,7,2025-01-14
NOLSM32514489,3,photo_li,39.24,G,436,521.781,106.142,9,8,2025-01-14
NOLSM32514490,1,photo_li,39.855,H,405,551.421,108.267,9,9,2025-01-14
NOLSM32514491,2,photo_li,42.172,I,365,567.714,108.196,9,10,2025-01-14
NOLSM32514492,3,photo_li,42.686,H,405,539.341,106.176,9,11,2025-01-14
NOLSM32514493,1,photo_li,52.757,I,365,527.797,108.319,9,12,2025-01-14
NOLSM32514494,2,photo_li,43.247,G,436,543.403,110.196,9,13,2025-01-14
NOLSM32514495,3,photo_li,41.212,I,365,526.927,108.226,9,14,2025-01-14
NOLSM32514496,1,photo_li,7.966,G,436,518.933,104.744,9,15,2025-01-14
NOLSM32514497,2,photo_li,37.505,I,365,506.58,108.657,9,16,2025-01-14
NOLSM32514498,3,photo_li,29.47,I,365,522.31,110.496,9,17,2025-01-14
NOLSM32514499,1,photo_li,23.914,I,365,559.349,105.513,9,18,2025-01-14
NOLSM32514500,2,photo_li,45.226,G,436,536.732,107.801,9,19,2025-01-14
NOLSM32514501,3,photo_li,47.174,I,365,505.55,106.883,9,20,2025-01-14
NOLSM32514502,1,photo_li,34.28,H,405,539.87,108.182,9,21,2025-01-14
NOLSM32514503,2,photo_li,29.346,I,365,513.992,108.021,9,22,2025-01-14
NOLSM32514504,3,photo_li,41.537,G,436,492.026,106.887,9,23,2025-01-14
NOLSM32514505,2,photo_li,33.856,G,436,497.696,106.427,9,24,2025-01-14
NOLSM32514506,3,photo_li,30.124,G,436,521.902,108.305,9,25,2025-01-14
NOLSM32514507,1,photo_li,76.164,H,405,495.488,109.163,9,26,2025-01-14
NOLSM32514508,2,photo_li,35.772,G,436,522.123,105.328,9,27,2025-01-14
NOLSM32514509,3,photo_li,35.615,I,365,474.979,106.702,29,1,2025-01-14
NOLSM32514510,1,photo_li,39.327,I,365,479.457,106.988,29,2,2025-01-14
NOLSM32514511,2,photo_li,30.405,I,365,464.99,107.071,29,3,2025-01-14
NOLSM32514512,3,photo_li,35.141,I,365,472.903,106.91,29,4,2025-01-14
NOLSM32514513,1,photo_li,33.427,I,365,476.106,106.359,29,5,2025-01-14
NOLSM32514514,2,photo_li,23.135,I,365,466.988,105.461,29,6,2025-01-14
NOLSM32514515,3,photo_li,29.228,I,365,470.858,105.674,29,7,2025-01-14
NOLSM32514516,1,photo_li,32.279,I,365,480.529,105.691,29,8,2025-01-14
NOLSM32514517,2,photo_li,19.895,I,365,469.498,104.64,29,9,2025-01-14
NOLSM32514518,3,photo_li,24.793,I,365,474.636,104.656,29,10,2025-01-14
NOLSM32514519,1,photo_li,18.941,I,365,466.956,104.334,29,11,2025-01-14
NOLSM32514520,2,photo_li,17.812,I,365,467.273,104.363,29,12,2025-01-14
NOLSM32514521,3,photo_li,23.813,I,365,468.949,104.66,29,13,2025-01-14
NOLSM32514522,1,photo_li,34.351,I,365,484.946,105.481,29,14,2025-01-14
NOLSM32514523,2,photo_li,28.83,I,365,469.067,106.319,29,15,2025-01-14
NOLSM32514524,1,photo_li,29.647,I,365,473.765,105.972,29,16,2025-01-14
NOLSM32514525,2,photo_li,19.872,I,365,463.789,105.428,29,17,2025-01-14
NOLSM32514526,3,photo_li,36.199,I,365,480.245,106.671,29,18,2025-01-14
NOLSM32514527,1,photo_li,35.177,I,365,470.433,107.156,29,19,2025-01-14
NOLSM32514528,2,photo_li,42.66,I,365,484.981,107.219,29,20,2025-01-14
NOLSM32514529,3,photo_li,38.212,I,365,483.641,106.546,29,21,2025-01-14
NOLSM32514530,1,photo_li,34.739,I,365,474.478,106.72,29,22,2025-01-14
NOLSM32514531,3,photo_li,35.591,I,365,478.389,106.411,29,23,2025-01-14
NOLSM32514532,1,photo_li,39.557,I,365,486.568,106.281,29,24,2025-01-14
NOLSM32514533,3,photo_li,32.024,I,365,474.63,106.211,29,25,2025-01-14
NOLSM32514534,1,photo_li,21.05,I,365,466.061,105.065,29,26,2025-01-14
NOLSM32514535,2,photo_li,32.042,I,365,481.615,105.658,29,27,2025-01-14
NOLSM32514536,1,photo_li,26.412,I,365,509.905,107.154,10,28,2025-01-15
NOLSM32514537,1,photo_li,55.082,H,405,522.965,104.965,10,29,2025-01-15
NOLSM32514538,1,photo_li,55.349,I,365,508.66,108.28,10,30,2025-01-15
NOLSM32514539,1,photo_li,29.355,G,436,547.688,108.293,10,31,2025-01-15
NOLSM32514540,1,photo_li,50.414,I,365,546.972,107.956,10,32,2025-01-15
NOLSM32514541,1,photo_li,50.99,G,436,520.707,109.996,10,33,2025-01-15
NOLSM32514542,1,photo_li,51.932,H,405,541.999,108.145,10,34,2025-01-15
NOLSM32514543,1,photo_li,38.102,G,436,463.809,109.977,10,35,2025-01-15
NOLSM32514544,1,photo_li,37.217,I,365,487.578,107.23,10,36,2025-01-15
NOLSM32514545,2,photo_li,51.582,G,436,479.686,108.776,10,37,2025-01-15
NOLSM32514546,2,photo_li,28.037,G,436,512.868,106.24,10,38,2025-01-15
NOLSM32514547,2,photo_li,35.917,I,365,506.528,108.47,10,39,2025-01-15
NOLSM32514548,2,photo_li,31.451,G,436,536.13,107.6,10,40,2025-01-15
NOLSM32514549,2,photo_li,28.715,H,405,527.563,109.075,10,41,2025-01-15
NOLSM32514550,2,photo_li,73.658,G,436,544.1,106.889,10,42,2025-01-15
NOLSM32514551,2,photo_li,32.614,G,436,499.549,108.935,10,43,2025-01-15
NOLSM32514552,2,photo_li,41.355,H,405,515.847,107.65,10,44,2025-01-15
NOLSM32514553,2,photo_li,41.914,I,365,546.835,106.13,10,45,2025-01-15
NOLSM32514554,3,photo_li,49.428,I,365,509.38,106.794,10,46,2025-01-15
NOLSM32514555,3,photo_li,42.916,G,436,549.094,108.945,10,47,2025-01-15
NOLSM32514556,3,photo_li,35.61,H,405,541.651,107.169,10,48,2025-01-15
NOLSM32514557,3,photo_li,47.332,I,365,488.311,108.476,10,49,2025-01-15
NOLSM32514558,3,photo_li,27.923,I,365,509.199,105.817,10,50,2025-01-15
NOLSM32514559,3,photo_li,49.756,G,436,483.273,108.353,10,51,2025-01-15
NOLSM32514560,3,photo_li,53.828,H,405,467.536,107.592,10,52,2025-01-15
NOLSM32514561,3,photo_li,44.579,H,405,522.366,108.639,10,53,2025-01-15
NOLSM32514562,3,photo_li,37.114,I,365,506.548,106.626,10,54,2025-01-15
NOLSM32514563,1,photo_li,33.392,I,365,478.51,106.073,30,28,2025-01-15
NOLSM32514564,1,photo_li,29.93,I,365,473.634,106.068,30,29,2025-01-15
NOLSM32514565,1,photo_li,24.596,I,365,474.816,104.887,30,30,2025-01-15
NOLSM32514566,1,photo_li,27.816,I,365,476.203,104.972,30,31,2025-01-15
NOLSM32514567,1,photo_li,23.153,I,365,474.163,104.782,30,32,2025-01-15
NOLSM32514568,1,photo_li,25.315,I,365,470.86,105.518,30,33,2025-01-15
NOLSM32514569,1,photo_li,32.454,I,365,482.477,105.576,30,34,2025-01-15
NOLSM32514570,1,photo_li,23.245,I,365,465.562,105.524,30,35,2025-01-15
NOLSM32514571,1,photo_li,25.998,I,365,472.662,105.016,30,36,2025-01-15
NOLSM32514572,2,photo_li,25.212,I,365,474.703,105.046,30,37,2025-01-15
NOLSM32514573,2,photo_li,16.922,I,365,461.53,105.072,30,38,2025-01-15
NOLSM32514574,2,photo_li,33.1,I,365,478.515,106.029,30,39,2025-01-15
NOLSM32514575,2,photo_li,27.489,I,365,470.337,106.051,30,40,2025-01-15
NOLSM32514576,2,photo_li,21.98,I,365,470.325,105.013,30,41,2025-01-15
NOLSM32514577,2,photo_li,24.977,I,365,468.555,105.207,30,42,2025-01-15
NOLSM32514578,2,photo_li,23.935,I,365,476.309,104.545,30,43,2025-01-15
NOLSM32514579,2,photo_li,17.702,I,365,467.11,104.538,30,44,2025-01-15
NOLSM32514580,2,photo_li,24.235,I,365,473.417,104.481,30,45,2025-01-15
NOLSM32514581,3,photo_li,27.927,I,365,484.28,104.642,30,46,2025-01-15
NOLSM32514582,3,photo_li,32.624,I,365,471.066,106.584,30,47,2025-01-15
NOLSM32514583,3,photo_li,26.969,I,365,474.627,105.413,30,48,2025-01-15
NOLSM32514584,3,photo_li,26.451,I,365,473.112,105.521,30,49,2025-01-15
NOLSM32514585,3,photo_li,33.48,I,365,484.921,105.734,30,50,2025-01-15
NOLSM32514586,3,photo_li,27.425,I,365,474.288,105.584,30,51,2025-01-15
NOLSM32514587,3,photo_li,39.689,I,365,471.152,108.0,30,52,2025-01-15
NOLSM32514588,3,photo_li,32.287,I,365,475.803,106.182,30,53,2025-01-15
NOLSM32514589,3,photo_li,44.211,I,365,488.918,106.726,30,54,2025-01-15
NOLSM32514590,3,photo_li,26.408,I,365,509.839,107.083,10,1,2025-01-15
NOLSM32514591,1,photo_li,55.168,H,405,523.032,105.038,10,2,2025-01-15
NOLSM32514592,2,photo_li,55.238,I,365,508.594,108.167,10,3,2025-01-15
NOLSM32514593,3,photo_li,29.198,G,436,547.766,108.175,10,4,2025-01-15
NOLSM32514594,1,photo_li,50.358,I,365,547.04,107.845,10,5,2025-01-15
NOLSM32514595,3,photo_li,51.408,G,436,520.821,110.177,10,6,2025-01-15
NOLSM32514596,1,photo_li,51.902,H,405,541.943,108.221,10,7,2025-01-15
NOLSM32514597,2,photo_li,38.106,G,436,463.741,110.069,10,8,2025-01-15
NOLSM32514598,3,photo_li,37.131,I,365,487.953,107.218,10,9,2025-01-15
NOLSM32514599,1,photo_li,51.624,G,436,479.679,108.541,10,10,2025-01-15
NOLSM32514600,3,photo_li,27.932,G,436,512.941,106.076,10,11,2025-01-15
NOLSM32514601,2,photo_li,36.086,I,365,506.58,108.27,10,12,2025-01-15
NOLSM32514602,3,photo_li,31.449,G,436,536.17,107.534,10,13,2025-01-15
NOLSM32514603,1,photo_li,28.663,H,405,527.41,109.202,10,14,2025-01-15
NOLSM32514604,2,photo_li,73.374,G,436,543.916,106.903,10,15,2025-01-15
NOLSM32514605,3,photo_li,32.574,G,436,499.603,108.963,10,16,2025-01-15
NOLSM32514606,1,photo_li,41.414,H,405,515.548,107.78,10,17,2025-01-15
