No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime
NOLSM32514261,3,Photo,1.434,11.338,15.224,20.074,197.091,90.164,497.201,3940.962,4926.088,5.001,89.749,29.931,27,50,2025-01-19
NOLSM32514262,3,Photo,1.122,17.371,15.147,20.028,197.645,89.964,497.405,3948.169,4935.306,5.094,89.565,29.975,27,51,2025-01-19
NOLSM32514263,3,Photo,0.834,20.072,15.013,19.926,197.191,90.026,497.294,3944.015,4930.192,4.872,89.763,30.048,27,52,2025-01-19
NOLSM32514264,3,Photo,1.505,19.602,14.943,19.927,197.446,90.121,497.315,3946.245,4932.797,4.958,89.493,29.923,27,53,2025-01-19
NOLSM32514265,3,Photo,1.989,19.591,14.916,20.119,197.452,89.98,497.435,3945.111,4931.419,4.931,89.696,29.72,27,54,2025-01-19
NOLSM32514266,2,Photo,0.813,12.531,15.0,20.185,199.778,89.898,497.622,4023.524,5090.963,4.957,92.183,29.978,7,1,2025-01-19
NOLSM32514267,2,Photo,1.517,18.382,15.056,19.904,195.768,89.992,498.058,4068.314,4862.856,5.015,91.489,29.995,7,2,2025-01-19
NOLSM32514268,3,Photo,0.839,14.881,15.187,20.016,200.63,89.946,497.036,4108.103,4993.783,4.869,92.325,29.937,7,3,2025-01-19
NOLSM32514269,3,Photo,1.807,17.234,14.877,19.888,201.929,90.096,499.958,3956.799,4866.974,5.242,93.448,30.009,7,4,2025-01-19
NOLSM32514270,3,Photo,0.77,12.541,15.049,19.831,200.236,89.882,506.446,3959.874,5029.033,5.09,92.423,29.995,7,5,2025-01-19
NOLSM32514271,1,Photo,1.636,18.569,14.768,19.916,205.242,89.953,495.261,3998.322,5002.335,5.105,92.949,29.766,7,6,2025-01-19
NOLSM32514272,1,Photo,1.103,17.354,14.742,20.152,197.755,89.81,504.844,3985.658,5126.611,4.957,92.656,30.037,7,7,2025-01-19
NOLSM32514273,1,Photo,0.701,17.6,15.047,19.815,198.361,89.857,500.856,3926.526,4814.723,5.294,92.086,30.178,7,8,2025-01-19
NOLSM32514274,2,Photo,1.069,16.636,15.145,19.948,200.473,90.103,500.414,3971.458,4982.567,4.935,91.884,29.855,7,9,2025-01-19
NOLSM32514275,2,Photo,0.756,16.504,15.148,20.002,204.525,90.068,504.555,3989.752,5046.693,5.033,93.574,30.039,7,10,2025-01-19
NOLSM32514276,3,Photo,0.386,14.292,15.092,20.06,200.573,89.921,501.162,4093.633,4975.672,4.893,91.541,30.064,7,11,2025-01-19
NOLSM32514277,3,Photo,1.042,11.537,15.024,20.049,193.971,90.087,502.934,3972.932,5021.655,5.089,92.174,29.963,7,12,2025-01-19
NOLSM32514278,3,Photo,0.648,15.931,15.231,19.924,198.739,90.042,501.293,3990.513,4893.207,5.014,92.519,29.967,7,13,2025-01-19
NOLSM32514279,1,Photo,1.413,14.695,15.101,20.117,195.07,89.905,499.109,4011.408,5027.442,5.104,92.399,29.822,7,14,2025-01-19
NOLSM32514280,1,Photo,2.33,15.824,15.139,20.021,198.528,90.18,496.247,3985.594,4931.297,5.071,91.307,30.048,7,15,2025-01-19
NOLSM32514281,2,Photo,2.121,16.162,14.989,19.933,205.73,89.923,502.697,4022.573,4957.048,5.0,94.007,30.16,7,16,2025-01-19
NOLSM32514282,2,Photo,1.905,18.193,15.113,19.861,201.245,89.853,500.263,4012.922,4970.04,5.019,91.498,29.967,7,17,2025-01-19
NOLSM32514283,3,Photo,1.367,15.477,14.971,19.808,201.331,89.938,495.229,4033.776,4991.427,5.015,91.655,30.209,7,18,2025-01-19
NOLSM32514284,3,Photo,0.587,14.437,15.213,19.923,197.849,89.981,503.197,4074.764,5024.055,4.912,95.114,30.014,7,19,2025-01-19
NOLSM32514285,3,Photo,1.048,15.079,15.05,19.959,197.193,89.877,499.77,3976.031,4944.22,5.071,90.452,29.976,7,20,2025-01-19
NOLSM32514286,1,Photo,1.721,9.608,15.189,20.068,204.264,89.968,499.133,4040.787,4900.021,4.884,92.883,29.87,7,21,2025-01-19
NOLSM32514287,1,Photo,1.375,14.012,15.08,20.134,201.132,90.136,503.382,3957.13,5065.287,5.061,90.398,30.002,7,22,2025-01-19
NOLSM32514288,1,Photo,1.141,15.402,15.082,19.909,199.252,90.005,497.223,4070.636,4894.545,5.1,91.48,30.072,7,23,2025-01-19
NOLSM32514289,2,Photo,1.393,18.188,14.952,19.976,204.036,90.055,500.635,4152.824,5084.229,4.875,93.678,29.976,7,24,2025-01-19
NOLSM32514290,2,Photo,1.479,15.533,14.894,20.043,200.35,90.03,498.175,4022.707,5047.578,4.86,92.78,29.974,7,25,2025-01-19
NOLSM32514291,2,Photo,1.75,14.781,15.124,19.942,200.911,90.093,503.734,4003.514,5053.988,4.824,91.567,29.999,7,26,2025-01-19
NOLSM32514292,3,Photo,0.964,19.451,15.066,20.081,201.446,90.01,502.012,3963.52,5128.415,5.011,92.574,30.042,7,27,2025-01-19
NOLSM32514293,2,Photo,1.132,18.001,15.029,20.031,201.635,90.23,501.703,4033.577,5042.003,5.073,92.229,30.01,27,1,2025-01-19
NOLSM32514294,2,Photo,0.669,15.867,14.912,20.081,202.879,89.976,502.923,4060.459,5075.303,5.265,92.859,29.91,27,2,2025-01-19
NOLSM32514295,3,Photo,0.847,19.931,15.03,19.961,204.284,89.944,504.274,4084.796,5106.246,5.174,93.162,29.992,27,3,2025-01-19
NOLSM32514296,3,Photo,0.905,20.262,14.951,20.003,203.376,90.175,503.443,4070.297,5087.728,5.113,92.607,30.056,27,4,2025-01-19
NOLSM32514297,3,Photo,0.998,18.539,15.157,20.127,199.226,90.002,499.447,3988.786,4986.073,5.094,90.822,29.991,27,5,2025-01-19
NOLSM32514298,1,Photo,0.484,17.646,15.161,20.01,199.519,90.003,499.572,3990.215,4987.685,5.091,90.787,30.022,27,6,2025-01-19
NOLSM32514299,1,Photo,0.776,20.521,15.104,20.217,198.96,90.06,498.977,3979.184,4974.122,4.981,90.084,29.938,27,7,2025-01-19
NOLSM32514300,1,Photo,1.272,11.797,15.033,20.095,197.788,89.704,497.828,3956.214,4945.602,4.941,89.99,30.139,27,8,2025-01-19
NOLSM32514301,2,Photo,1.204,20.256,15.154,19.803,197.582,89.953,497.558,3950.626,4938.189,4.999,89.774,30.202,27,9,2025-01-19
NOLSM32514302,2,Photo,1.09,10.795,14.805,19.98,197.381,89.794,497.299,3947.378,4934.474,4.984,89.651,30.013,27,10,2025-01-19
NOLSM32514303,2,Photo,1.471,19.574,14.72,20.009,197.218,89.933,497.32,3947.101,4933.851,4.985,89.808,30.039,27,11,2025-01-19
NOLSM32514304,3,Photo,1.262,19.932,14.955,19.95,197.973,89.898,497.729,3953.857,4942.335,4.943,90.046,30.01,27,12,2025-01-19
NOLSM32514305,3,Photo,1.198,17.328,14.978,19.923,197.581,89.939,497.479,3949.816,4937.339,4.914,90.098,30.114,27,13,2025-01-19
NOLSM32514306,3,Photo,1.046,20.01,14.858,19.986,198.51,89.914,498.526,3971.444,4964.381,4.897,89.933,29.872,27,14,2025-01-19
NOLSM32514307,1,Photo,0.901,19.741,14.994,19.999,198.702,89.858,498.556,3972.491,4965.551,5.015,90.11,29.969,27,15,2025-01-19
NOLSM32514308,1,Photo,1.21,19.32,14.958,19.934,198.058,89.919,498.234,3964.359,4955.472,4.88,90.114,30.128,27,16,2025-01-19
NOLSM32514309,2,Photo,1.105,18.15,14.931,19.889,198.27,90.109,498.267,3964.886,4956.072,4.9,89.609,29.951,27,17,2025-01-19
NOLSM32514310,2,Photo,1.14,17.283,15.091,20.103,197.594,89.785,497.569,3952.651,4940.991,5.082,89.867,30.035,27,18,2025-01-19
NOLSM32514311,3,Photo,1.502,15.147,15.117,19.864,197.582,90.09,497.558,3951.883,4939.78,4.813,89.782,29.875,27,19,2025-01-19
NOLSM32514312,3,Photo,1.312,15.602,14.952,20.111,197.787,89.781,497.622,3954.961,4943.661,4.964,89.916,29.864,27,20,2025-01-19
NOLSM32514313,1,Photo,1.028,14.49,15.041,19.927,197.632,89.967,497.61,3953.124,4941.347,4.724,89.777,29.996,27,21,2025-01-19
NOLSM32514314,1,Photo,1.393,16.411,15.021,20.042,197.284,89.965,497.211,3943.579,4929.369,4.95,89.533,30.089,27,22,2025-01-19
NOLSM32514315,1,Photo,1.638,11.35,15.085,20.117,197.159,89.972,497.162,3940.998,4925.95,4.831,89.727,29.868,27,23,2025-01-19
NOLSM32514316,2,Photo,1.137,17.401,15.182,19.923,197.182,89.934,497.439,3948.337,4935.437,4.871,89.624,30.054,27,24,2025-01-19
NOLSM32514317,2,Photo,1.483,20.266,15.013,19.974,197.117,89.925,497.194,3944.267,4930.069,4.818,89.796,29.917,27,25,2025-01-19
NOLSM32514318,2,Photo,1.191,19.63,15.146,19.996,197.274,89.918,497.435,3946.275,4932.717,4.884,89.598,30.085,27,26,2025-01-19
NOLSM32514319,3,Photo,1.091,19.677,14.99,19.822,197.113,90.111,497.181,3945.189,4931.433,4.816,89.623,29.843,27,27,2025-01-19
NOLSM32514320,2,Photo,1.68,13.205,14.92,19.979,199.597,89.872,503.311,4019.267,5089.941,5.191,96.199,30.067,8,28,2025-01-13
NOLSM32514321,2,Photo,2.015,15.043,15.008,19.994,199.502,89.88,501.445,4083.253,5069.5,4.946,94.82,29.911,8,29,2025-01-13
NOLSM32514322,2,Photo,1.589,17.293,15.219,19.753,200.218,90.072,500.968,4037.404,5027.659,5.061,91.537,30.082,8,30,2025-01-13
NOLSM32514323,2,Photo,0.862,14.824,15.019,19.915,200.923,90.018,501.569,3927.613,5002.99,4.88,91.711,29.88,8,31,2025-01-13
NOLSM32514324,2,Photo,1.697,16.034,14.837,19.91,197.127,89.873,496.946,4001.48,5040.036,5.095,94.161,29.92,8,32,2025-01-13
NOLSM32514325,2,Photo,1.166,18.755,14.953,19.877,200.903,89.834,500.149,4054.517,4958.266,4.982,92.397,30.119,8,33,2025-01-13
NOLSM32514326,2,Photo,0.986,13.027,14.981,19.969,197.648,89.973,501.351,3957.053,4997.899,5.027,90.332,29.961,8,34,2025-01-13
NOLSM32514327,2,Photo,1.514,17.275,14.98,19.918,198.251,89.921,496.479,4088.006,5053.972,5.039,90.443,29.993,8,35,2025-01-13
NOLSM32514328,2,Photo,1.756,13.024,14.978,19.922,204.364,89.971,501.723,4025.502,5067.185,5.051,91.7,29.921,8,36,2025-01-13
NOLSM32514329,2,Photo,1.532,18.097,15.091,20.188,204.469,90.099,495.949,4036.945,5121.521,5.018,93.754,30.034,8,37,2025-01-13
NOLSM32514330,2,Photo,0.632,16.458,15.122,20.01,202.97,90.123,500.496,4014.163,5065.527,4.991,90.955,30.009,8,38,2025-01-13
NOLSM32514331,2,Photo,0.654,15.672,15.193,20.111,195.548,90.032,502.278,3985.566,4967.002,5.161,91.99,30.084,8,39,2025-01-13
NOLSM32514332,2,Photo,1.802,15.155,14.868,19.982,196.394,90.016,503.496,4047.466,5030.588,4.945,90.32,29.91,8,40,2025-01-13
NOLSM32514333,2,Photo,1.915,15.946,14.999,19.886,196.627,90.052,498.477,3955.335,4937.879,5.102,92.021,29.898,8,41,2025-01-13
NOLSM32514334,2,Photo,1.935,17.619,14.966,19.958,197.529,90.037,495.451,4062.942,5050.936,4.978,94.011,29.932,8,42,2025-01-13
NOLSM32514335,2,Photo,1.048,17.183,14.782,19.894,198.092,89.861,494.465,4071.711,4985.712,5.167,93.225,29.875,8,43,2025-01-13
NOLSM32514336,2,Photo,1.41,16.059,15.165,20.136,197.167,89.876,498.332,3985.825,5063.175,5.126,92.445,30.08,8,44,2025-01-13
NOLSM32514337,2,Photo,0.765,18.921,14.944,19.966,197.977,90.043,505.878,3978.763,5036.534,5.068,90.06,29.899,8,45,2025-01-13
NOLSM32514338,2,Photo,0.757,18.901,14.771,20.017,197.042,89.885,502.445,4055.898,5011.903,5.062,92.039,30.154,8,46,2025-01-13
NOLSM32514339,2,Photo,1.558,13.669,14.934,19.904,197.713,89.853,502.579,4029.186,4911.447,4.828,94.797,30.041,8,47,2025-01-13
NOLSM32514340,2,Photo,2.041,18.736,14.999,19.905,197.887,89.903,502.31,3971.343,5142.833,5.034,92.092,29.854,8,48,2025-01-13
NOLSM32514341,2,Photo,1.476,20.721,15.116,20.004,199.042,89.9,499.357,4035.278,5006.13,5.056,91.167,30.086,8,49,2025-01-13
NOLSM32514342,2,Photo,0.446,11.09,15.028,20.06,198.274,90.008,505.899,3952.583,5015.154,5.084,92.372,29.96,8,50,2025-01-13
NOLSM32514343,2,Photo,0.725,15.257,15.075,20.242,198.966,89.947,494.874,3972.399,5031.097,4.988,90.963,30.083,8,51,2025-01-13
NOLSM32514344,2,Photo,0.833,12.27,15.081,20.205,202.169,90.239,504.224,4017.342,4941.042,5.094,91.759,29.942,8,52,2025-01-13
NOLSM32514345,2,Photo,1.394,19.885,15.049,19.992,203.032,90.072,500.072,4072.839,5014.656,5.159,90.439,29.961,8,53,2025-01-13
NOLSM32514346,2,Photo,1.456,15.893,14.929,19.933,202.462,90.105,500.382,4084.931,5008.01,5.104,91.493,29.997,8,54,2025-01-13
NOLSM32514347,1,Photo,1.519,19.279,14.825,20.042,197.342,89.836,497.166,3945.274,4931.663,4.841,89.71,30.048,28,28,2025-01-13
NOLSM32514348,1,Photo,0.539,13.217,14.818,20.025,197.777,90.029,497.878,3956.682,4945.852,4.98,89.887,30.067,28,29,2025-01-13
NOLSM32514349,1,Photo,0.674,15.5,15.155,19.945,197.525,90.028,497.703,3952.59,4940.594,4.813,89.74,29.846,28,30,2025-01-13
NOLSM32514350,1,Photo,1.029,20.13,15.229,19.908,197.669,90.116,497.381,3951.067,4938.695,4.827,89.802,30.058,28,31,2025-01-13
NOLSM32514351,1,Photo,1.405,10.407,15.115,19.851,197.321,89.974,497.438,3948.629,4935.599,5.132,90.041,30.003,28,32,2025-01-13
NOLSM32514352,1,Photo,1.21,14.579,14.764,19.954,197.803,89.948,497.885,3953.835,4942.31,5.099,89.647,30.198,28,33,2025-01-13
NOLSM32514353,1,Photo,1.374,17.276,15.121,20.047,197.565,90.222,497.683,3952.871,4941.313,4.878,89.798,29.998,28,34,2025-01-13
NOLSM32514354,1,Photo,1.112,15.998,14.829,20.179,197.743,89.862,497.721,3953.776,4942.093,4.95,89.85,30.222,28,35,2025-01-13
NOLSM32514355,1,Photo,1.471,18.954,14.924,19.874,197.626,90.075,497.512,3954.49,4943.194,5.044,89.922,30.074,28,36,2025-01-13
NOLSM32514356,1,Photo,0.884,18.795,14.961,20.007,197.624,89.946,497.849,3954.358,4942.994,4.958,89.827,30.009,28,37,2025-01-13
NOLSM32514357,1,Photo,1.565,13.776,15.054,19.966,197.447,89.974,497.335,3949.384,4936.619,4.968,89.837,29.911,28,38,2025-01-13
NOLSM32514358,1,Photo,1.034,18.956,14.93,20.032,197.783,89.988,497.705,3953.195,4941.621,4.862,89.897,29.878,28,39,2025-01-13
NOLSM32514359,1,Photo,1.356,20.788,14.94,20.112,198.153,90.007,498.162,3960.485,4950.843,4.962,89.989,30.033,28,40,2025-01-13
NOLSM32514360,1,Photo,1.25,11.358,15.018,20.016,198.045,89.979,497.869,3958.905,4948.688,4.937,90.135,29.925,28,41,2025-01-13
NOLSM32514361,1,Photo,1.314,15.273,14.762,19.881,197.922,90.068,498.145,3959.672,4949.503,4.827,89.397,29.854,28,42,2025-01-13
NOLSM32514362,1,Photo,1.288,12.566,15.028,19.853,196.994,89.937,496.914,3939.917,4924.7,4.898,89.639,29.963,28,43,2025-01-13
NOLSM32514363,1,Photo,1.384,19.579,15.183,20.179,197.268,89.953,497.135,3942.796,4928.596,4.818,89.491,29.984,28,44,2025-01-13
NOLSM32514364,1,Photo,1.701,15.848,14.961,19.829,196.306,89.849,496.259,3925.276,4906.537,4.761,89.279,29.856,28,45,2025-01-13
NOLSM32514365,1,Photo,1.847,17.595,14.989,20.053,195.98,89.936,496.03,3920.392,4900.356,4.86,89.051,29.884,28,46,2025-01-13
NOLSM32514366,1,Photo,1.697,16.612,14.913,19.941,196.392,90.12,496.198,3926.205,4907.656,4.968,89.24,29.845,28,47,2025-01-13
NOLSM32514367,1,Photo,1.644,18.034,14.92,19.855,196.434,89.995,496.438,3929.572,4911.946,4.845,89.037,29.974,28,48,2025-01-13
NOLSM32514368,1,Photo,1.713,18.937,14.923,20.103,196.055,89.903,496.199,3919.948,4899.91,4.858,88.424,29.946,28,49,2025-01-13
NOLSM32514369,1,Photo,2.254,17.281,15.022,19.946,194.41,90.008,494.367,3888.045,4859.887,4.963,88.949,30.001,28,50,2025-01-13
NOLSM32514370,1,Photo,1.984,17.381,15.046,19.885,195.276,90.146,495.377,3908.856,4885.805,4.893,88.457,30.222,28,51,2025-01-13
NOLSM32514371,1,Photo,1.73,13.857,14.89,20.097,194.871,89.881,495.023,3898.907,4873.616,5.07,88.843,30.089,28,52,2025-01-13
NOLSM32514372,1,Photo,1.908,19.619,15.204,20.028,195.559,90.1,495.453,3911.939,4889.786,4.895,88.633,30.063,28,53,2025-01-13
NOLSM32514373,1,Photo,2.018,13.148,14.893,19.893,194.904,90.011,494.738,3894.027,4867.284,4.885,88.267,29.917,28,54,2025-01-13
NOLSM32514374,3,Photo,0.476,13.181,14.87,20.139,199.484,90.022,497.497,4019.279,5089.712,5.107,95.944,29.781,8,1,2025-01-13
NOLSM32514375,3,Photo,1.45,15.135,15.136,19.995,199.53,89.97,503.412,4083.458,5069.686,4.958,94.805,29.936,8,2,2025-01-13
NOLSM32514376,1,Photo,1.209,17.372,15.187,19.953,200.351,89.965,498.742,4037.161,5027.785,5.017,91.873,29.932,8,3,2025-01-13
NOLSM32514377,1,Photo,1.394,14.791,14.888,20.25,200.819,89.858,497.356,3927.428,5003.138,5.05,91.471,29.969,8,4,2025-01-13
NOLSM32514378,1,Photo,1.185,16.342,15.051,20.043,197.39,89.919,498.667,4054.424,5040.105,5.174,94.296,30.084,8,5,2025-01-13
NOLSM32514379,2,Photo,0.815,18.575,15.06,20.005,200.831,90.188,504.083,3989.277,4958.326,4.955,92.305,30.172,8,6,2025-01-13
NOLSM32514380,2,Photo,1.557,12.811,15.052,20.049,197.791,89.909,498.722,4036.685,4997.972,5.086,90.397,30.011,8,7,2025-01-13
NOLSM32514381,2,Photo,0.868,17.236,15.173,19.938,198.271,90.122,505.051,3911.542,5053.963,5.125,90.413,30.075,8,8,2025-01-13
NOLSM32514382,3,Photo,1.129,13.18,15.116,19.966,201.563,89.894,500.064,4000.438,5067.214,5.118,91.501,30.079,8,9,2025-01-13
NOLSM32514383,3,Photo,1.083,18.106,15.023,19.923,201.676,89.969,496.392,4024.841,5121.448,5.025,93.863,29.967,8,10,2025-01-13
NOLSM32514384,3,Photo,1.227,16.595,14.847,20.007,203.745,90.001,499.427,4048.761,5065.567,4.887,91.142,29.778,8,11,2025-01-13
NOLSM32514385,1,Photo,2.313,15.722,15.194,19.911,200.554,89.902,497.724,4139.596,4967.07,5.187,91.809,30.076,8,12,2025-01-13
NOLSM32514386,1,Photo,1.466,15.157,15.045,19.97,201.043,89.809,502.711,3999.64,5030.605,5.221,90.138,30.022,8,13,2025-01-13
NOLSM32514387,1,Photo,1.954,16.011,14.941,19.993,198.541,90.021,503.026,4048.564,4937.838,4.988,92.07,29.983,8,14,2025-01-13
NOLSM32514388,2,Photo,1.505,17.697,15.137,20.079,200.819,89.974,501.746,4054.87,5051.008,4.944,94.055,30.276,8,15,2025-01-13
NOLSM32514389,2,Photo,0.958,14.421,14.926,20.039,202.884,89.923,500.162,4058.467,4985.513,4.92,93.171,30.035,8,16,2025-01-13
NOLSM32514390,3,Photo,1.416,12.407,14.935,20.061,196.596,89.975,501.432,4063.132,5063.033,5.056,92.454,30.094,8,17,2025-01-13
NOLSM32514391,3,Photo,0.61,19.02,15.14,20.013,201.007,90.151,504.083,4076.082,5036.455,5.053,90.017,30.036,8,18,2025-01-13
NOLSM32514392,3,Photo,1.063,17.06,15.042,19.946,203.14,89.889,503.609,4000.931,5012.039,4.91,92.032,30.089,8,19,2025-01-13
NOLSM32514393,1,Photo,0.857,15.047,15.187,19.981,200.296,89.935,500.239,4086.545,4911.614,4.822,94.905,29.931,8,20,2025-01-13
NOLSM32514394,1,Photo,0.87,15.782,15.116,19.953,205.611,90.085,501.218,3967.028,5142.772,4.858,91.958,29.922,8,21,2025-01-13
NOLSM32514395,2,Photo,1.699,16.156,15.163,20.007,201.579,89.947,497.755,4072.945,5005.939,5.089,91.186,29.898,8,22,2025-01-13
NOLSM32514396,2,Photo,0.938,18.729,15.061,19.777,201.229,90.034,500.904,4014.879,5015.344,5.011,92.315,30.084,8,23,2025-01-13
NOLSM32514397,2,Photo,1.853,17.987,14.816,20.112,203.152,90.037,499.769,4069.071,5031.048,5.101,90.734,30.004,8,24,2025-01-13
NOLSM32514398,3,Photo,1.438,19.413,14.925,19.964,203.08,89.997,499.804,4014.469,4941.258,5.161,91.639,30.026,8,25,2025-01-13
NOLSM32514399,3,Photo,1.281,17.801,15.013,20.022,204.053,90.042,499.336,4132.016,5014.828,5.034,90.369,29.733,8,26,2025-01-13
NOLSM32514400,3,Photo,1.3,17.009,15.033,20.069,204.401,90.002,501.87,4103.038,5007.911,5.113,91.327,30.008,8,27,2025-01-13
NOLSM32514401,3,Photo,1.559,19.384,15.117,19.949,197.191,90.092,497.072,3945.21,4931.736,4.925,89.808,29.794,28,1,2025-01-13
NOLSM32514402,3,Photo,1.004,13.162,14.809,20.003,197.855,89.999,497.805,3956.972,4945.958,4.918,90.003,30.05,28,2,2025-01-13
NOLSM32514403,1,Photo,1.261,15.505,15.162,20.136,197.544,90.007,497.788,3952.537,4940.333,4.709,89.778,29.933,28,3,2025-01-13
NOLSM32514404,1,Photo,1.513,20.051,14.971,19.84,197.661,89.952,497.598,3950.843,4938.629,4.905,90.002,29.917,28,4,2025-01-13
NOLSM32514405,1,Photo,1.401,10.576,15.086,19.945,197.496,90.124,497.22,3948.675,4935.816,4.685,89.815,30.001,28,5,2025-01-13
NOLSM32514406,2,Photo,1.479,14.591,14.854,20.172,197.72,89.978,497.676,3954.047,4942.394,4.82,89.861,29.916,28,6,2025-01-13
NOLSM32514407,2,Photo,1.331,15.531,15.17,19.954,197.565,89.977,497.804,3952.994,4941.091,4.896,89.758,29.905,28,7,2025-01-13
NOLSM32514408,2,Photo,1.01,15.539,14.834,19.803,197.675,89.881,497.598,3953.831,4942.188,5.009,89.914,29.884,28,8,2025-01-13
NOLSM32514409,3,Photo,1.2,15.348,14.975,20.01,197.54,89.987,497.636,3954.548,4943.132,4.873,89.909,30.061,28,9,2025-01-13
NOLSM32514410,3,Photo,1.163,15.418,14.936,20.049,197.77,90.015,497.576,3954.328,4943.178,4.934,89.835,30.098,28,10,2025-01-13
NOLSM32514411,3,Photo,1.516,15.94,15.013,20.173,197.518,90.007,497.345,3949.105,4936.605,5.065,89.817,29.931,28,11,2025-01-13
NOLSM32514412,1,Photo,1.402,16.273,15.081,20.306,197.687,89.878,497.617,3953.085,4941.587,4.745,90.179,29.945,28,12,2025-01-13
NOLSM32514413,1,Photo,1.579,12.487,15.085,20.021,197.961,90.002,497.91,3960.674,4950.727,4.765,90.018,29.927,28,13,2025-01-13
NOLSM32514414,1,Photo,1.317,12.614,14.935,19.933,197.77,89.905,498.05,3959.132,4948.722,5.065,90.061,29.925,28,14,2025-01-13
NOLSM32514415,2,Photo,1.305,12.344,14.967,20.032,198.034,89.996,497.89,3959.832,4949.614,5.143,89.604,29.957,28,15,2025-01-13
NOLSM32514416,2,Photo,1.371,11.541,15.099,19.979,196.927,90.078,497.045,3939.758,4924.676,4.843,89.669,29.898,28,16,2025-01-13
NOLSM32514417,2,Photo,1.31,12.078,14.977,19.915,196.925,89.869,497.152,3942.697,4928.486,4.922,89.285,29.955,28,17,2025-01-13
NOLSM32514418,3,Photo,1.653,19.341,15.127,19.936,196.298,90.074,496.171,3925.332,4906.701,5.052,89.095,29.88,28,18,2025-01-13
NOLSM32514419,3,Photo,1.599,11.149,14.962,19.87,195.983,89.944,495.986,3920.555,4900.278,4.834,88.969,30.032,28,19,2025-01-13
NOLSM32514420,3,Photo,1.91,18.782,15.019,20.0,196.329,89.996,496.27,3926.179,4907.763,5.045,89.16,29.861,28,20,2025-01-13
NOLSM32514421,1,Photo,1.534,18.075,14.927,20.056,196.457,90.09,496.529,3929.592,4911.882,4.954,89.285,30.055,28,21,2025-01-13
NOLSM32514422,1,Photo,1.752,19.018,15.079,19.95,195.972,90.122,495.914,3919.885,4899.915,5.03,88.623,29.793,28,22,2025-01-13
NOLSM32514423,1,Photo,2.213,17.261,15.174,20.169,194.36,89.962,494.389,3887.996,4859.895,4.904,88.851,30.139,28,23,2025-01-13
NOLSM32514424,2,Photo,2.074,17.333,14.791,19.83,195.485,90.046,495.552,3908.579,4885.874,4.909,88.515,30.079,28,24,2025-01-13
NOLSM32514425,2,Photo,1.926,13.943,14.873,19.994,194.995,89.943,494.925,3898.963,4873.634,4.85,88.805,30.043,28,25,2025-01-13
NOLSM32514426,2,Photo,2.229,19.535,15.146,19.917,195.633,90.139,495.525,3911.85,4889.703,4.807,88.651,29.913,28,26,2025-01-13
NOLSM32514427,3,Photo,2.119,13.041,14.746,20.059,194.544,90.142,494.703,3893.846,4867.209,4.738,88.514,29.925,28,27,2025-01-13
NOLSM32514428,3,Photo,1.656,17.569,15.062,20.269,202.901,90.097,494.843,4045.028,5139.118,4.805,91.572,30.11,9,28,2025-01-14
NOLSM32514429,3,Photo,1.139,16.511,15.114,19.979,202.941,89.997,499.273,4010.288,5069.577,5.0,91.755,30.087,9,29,2025-01-14
NOLSM32514430,3,Photo,0.831,12.592,14.919,20.036,202.631,89.935,501.256,4096.222,4984.036,4.892,93.511,29.911,9,30,2025-01-14
NOLSM32514431,3,Photo,1.06,14.03,14.895,20.054,200.464,89.926,493.287,4055.789,5034.27,5.065,89.042,30.054,9,31,2025-01-14
NOLSM32514432,3,Photo,0.789,17.7,15.008,19.938,202.938,90.092,496.941,3977.934,5011.888,5.176,92.792,30.099,9,32,2025-01-14
NOLSM32514433,3,Photo,1.232,14.149,15.252,20.017,200.694,89.946,498.694,4017.042,5030.434,5.282,93.575,29.983,9,33,2025-01-14
NOLSM32514434,3,Photo,0.85,13.622,14.998,20.015,203.154,90.002,499.7,3950.691,5045.815,4.985,90.7,30.124,9,34,2025-01-14
NOLSM32514435,3,Photo,1.008,16.99,15.115,20.082,200.399,90.069,498.419,4053.34,5009.159,5.159,93.866,29.848,9,35,2025-01-14
NOLSM32514436,3,Photo,1.327,16.771,14.92,19.982,204.013,90.089,497.143,4141.275,4984.901,5.024,91.741,29.913,9,36,2025-01-14
NOLSM32514437,3,Photo,1.725,12.533,14.729,20.052,201.877,89.827,502.46,4055.56,5126.147,5.227,93.688,29.925,9,37,2025-01-14
NOLSM32514438,3,Photo,1.824,12.123,15.079,19.956,205.393,90.171,505.445,3864.899,5051.424,5.089,93.359,30.06,9,38,2025-01-14
NOLSM32514439,3,Photo,1.236,12.897,14.937,20.014,196.733,89.923,492.319,3961.679,4935.931,4.916,91.899,29.991,9,39,2025-01-14
NOLSM32514440,3,Photo,1.28,14.311,15.022,20.012,203.733,89.933,493.587,4044.477,5047.829,5.109,92.578,30.098,9,40,2025-01-14
NOLSM32514441,3,Photo,1.513,16.091,14.831,20.327,201.618,90.012,507.81,4037.621,4962.907,5.053,90.316,30.004,9,41,2025-01-14
NOLSM32514442,3,Photo,1.228,14.735,15.063,20.133,199.89,89.976,501.837,4031.356,4979.251,5.061,91.343,30.068,9,42,2025-01-14
