No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
NOLSM32514854,2,Oxidation,dry,921.13,O2,36.27,0.09,70,711.28,13,46,2025-01-18
NOLSM32514855,2,Oxidation,dry,1106.96,O2,37.62,0.33,87,705.98,13,47,2025-01-18
NOLSM32514856,2,Oxidation,dry,1168.28,O2,32.82,0.31,113,702.35,13,48,2025-01-18
NOLSM32514857,2,Oxidation,wet,1144.32,H2O,31.76,0.2,106,701.8,13,49,2025-01-18
NOLSM32514858,2,Oxidation,dry,1121.45,O2,39.44,0.19,50,711.88,13,50,2025-01-18
NOLSM32514859,2,Oxidation,wet,1264.72,H2O,32.88,0.2,112,696.78,13,51,2025-01-18
NOLSM32514860,2,Oxidation,wet,980.34,H2O,38.14,0.09,78,705.99,13,52,2025-01-18
NOLSM32514861,2,Oxidation,dry,1078.2,O2,39.86,0.2,80,707.34,13,53,2025-01-18
NOLSM32514862,2,Oxidation,dry,1054.1,O2,35.62,0.2,89,715.99,13,54,2025-01-18
NOLSM32514863,3,Oxidation,dry,1198.25,O2,26.57,-0.05,120,705.32,13,1,2025-01-18
NOLSM32514864,1,Oxidation,dry,959.14,O2,30.88,0.34,137,690.73,13,2,2025-01-18
NOLSM32514865,1,Oxidation,dry,1175.52,O2,31.16,0.35,116,702.5,13,3,2025-01-18
NOLSM32514866,1,Oxidation,dry,927.37,O2,31.24,0.29,143,704.18,13,4,2025-01-18
NOLSM32514867,1,Oxidation,wet,1120.77,H2O,31.4,0.29,76,707.86,13,5,2025-01-18
NOLSM32514868,1,Oxidation,dry,1310.78,O2,41.01,0.29,114,712.11,13,6,2025-01-18
NOLSM32514869,1,Oxidation,dry,933.5,O2,30.37,0.08,116,714.46,13,7,2025-01-18
NOLSM32514870,1,Oxidation,dry,1033.34,O2,30.48,0.17,218,700.82,13,8,2025-01-18
NOLSM32514871,1,Oxidation,wet,1137.17,H2O,32.31,0.06,119,715.33,13,9,2025-01-18
NOLSM32514872,1,Oxidation,wet,978.27,H2O,35.41,0.37,-2,687.52,13,10,2025-01-18
NOLSM32514873,2,Oxidation,wet,1077.31,H2O,35.0,0.11,144,722.49,13,11,2025-01-18
NOLSM32514874,2,Oxidation,wet,1013.31,H2O,38.24,0.12,58,721.57,13,12,2025-01-18
NOLSM32514875,2,Oxidation,wet,1014.36,H2O,32.65,0.21,144,708.86,13,13,2025-01-18
NOLSM32514876,2,Oxidation,dry,1124.54,O2,38.28,0.1,119,702.48,13,14,2025-01-18
NOLSM32514877,2,Oxidation,dry,1144.85,O2,26.66,0.31,118,702.15,13,15,2025-01-18
NOLSM32514878,2,Oxidation,dry,1127.59,O2,36.07,0.29,98,715.34,13,16,2025-01-18
NOLSM32514879,2,Oxidation,dry,919.1,O2,35.82,0.14,94,708.28,13,17,2025-01-18
NOLSM32514880,2,Oxidation,wet,1238.1,H2O,25.39,0.31,174,720.7,13,18,2025-01-18
NOLSM32514881,2,Oxidation,dry,914.06,O2,36.42,0.16,70,711.44,13,19,2025-01-18
NOLSM32514882,3,Oxidation,dry,1091.51,O2,37.51,0.18,87,705.82,13,20,2025-01-18
NOLSM32514883,3,Oxidation,dry,1148.95,O2,35.3,0.28,113,702.44,13,21,2025-01-18
NOLSM32514884,3,Oxidation,wet,1133.78,H2O,26.69,0.22,106,701.82,13,22,2025-01-18
NOLSM32514885,3,Oxidation,dry,1119.05,O2,27.56,0.37,50,711.87,13,23,2025-01-18
NOLSM32514886,3,Oxidation,wet,1263.68,H2O,31.65,0.15,112,696.83,13,24,2025-01-18
NOLSM32514887,3,Oxidation,wet,964.12,H2O,38.71,0.12,78,705.92,13,25,2025-01-18
NOLSM32514888,3,Oxidation,dry,1058.9,O2,32.97,0.14,80,707.11,13,26,2025-01-18
NOLSM32514889,3,Oxidation,dry,1046.07,O2,44.88,0.2,89,715.79,13,27,2025-01-18
NOLSM32514890,2,Oxidation,wet,1002.68,H2O,28.65,0.31,136,709.93,14,28,2025-01-26
NOLSM32514891,2,Oxidation,dry,1095.74,O2,34.66,0.2,187,711.5,14,29,2025-01-26
NOLSM32514892,2,Oxidation,wet,1024.22,H2O,34.81,0.17,86,704.22,14,30,2025-01-26
NOLSM32514893,2,Oxidation,dry,1135.39,O2,32.61,0.16,73,704.03,14,31,2025-01-26
NOLSM32514894,2,Oxidation,dry,1120.04,O2,38.06,0.16,73,722.26,14,32,2025-01-26
NOLSM32514895,2,Oxidation,wet,1210.07,H2O,33.81,0.14,160,713.69,14,33,2025-01-26
NOLSM32514896,2,Oxidation,dry,1057.21,O2,28.99,0.12,32,712.69,14,34,2025-01-26
NOLSM32514897,2,Oxidation,wet,1102.9,H2O,49.95,0.19,32,714.37,14,35,2025-01-26
NOLSM32514898,2,Oxidation,dry,1007.45,O2,32.66,0.19,32,715.31,14,36,2025-01-26
NOLSM32514899,2,Oxidation,wet,1173.92,H2O,32.84,0.21,90,713.0,14,37,2025-01-26
NOLSM32514900,2,Oxidation,wet,1065.83,H2O,36.85,0.17,95,714.33,14,38,2025-01-26
NOLSM32514901,2,Oxidation,dry,1122.74,O2,30.08,0.14,115,710.14,14,39,2025-01-26
NOLSM32514902,2,Oxidation,wet,1106.18,H2O,45.62,0.2,56,710.8,14,40,2025-01-26
NOLSM32514903,2,Oxidation,wet,1194.69,H2O,21.02,0.23,107,711.46,14,41,2025-01-26
NOLSM32514904,2,Oxidation,wet,1045.18,H2O,32.09,0.2,44,710.05,14,42,2025-01-26
NOLSM32514905,2,Oxidation,dry,1135.84,O2,29.55,0.4,99,721.71,14,43,2025-01-26
NOLSM32514906,2,Oxidation,wet,1081.31,H2O,41.71,0.07,214,701.44,14,44,2025-01-26
NOLSM32514907,2,Oxidation,wet,1119.28,H2O,40.61,0.34,152,720.67,14,45,2025-01-26
NOLSM32514908,2,Oxidation,dry,1059.03,O2,32.69,0.34,104,710.05,14,46,2025-01-26
NOLSM32514909,2,Oxidation,dry,1048.22,O2,36.91,0.27,75,707.27,14,47,2025-01-26
NOLSM32514910,2,Oxidation,dry,1061.32,O2,36.68,0.34,118,699.57,14,48,2025-01-26
NOLSM32514911,2,Oxidation,wet,1234.44,H2O,36.06,0.07,127,689.71,14,49,2025-01-26
NOLSM32514912,2,Oxidation,wet,1141.27,H2O,38.56,0.12,100,699.6,14,50,2025-01-26
NOLSM32514913,2,Oxidation,dry,1275.14,O2,23.51,0.27,156,715.06,14,51,2025-01-26
NOLSM32514914,2,Oxidation,wet,1064.94,H2O,33.28,0.04,117,726.5,14,52,2025-01-26
NOLSM32514915,2,Oxidation,wet,1096.95,H2O,31.03,0.16,128,711.0,14,53,2025-01-26
NOLSM32514916,2,Oxidation,wet,1016.06,H2O,33.52,0.28,168,714.63,14,54,2025-01-26
NOLSM32514917,1,Oxidation,wet,1002.28,H2O,44.78,0.12,136,710.01,14,1,2025-01-26
NOLSM32514918,1,Oxidation,dry,1087.62,O2,32.48,0.05,187,711.36,14,2,2025-01-26
NOLSM32514919,1,Oxidation,wet,1005.16,H2O,32.85,0.29,86,704.38,14,3,2025-01-26
NOLSM32514920,1,Oxidation,dry,1126.06,O2,24.72,0.4,73,703.91,14,4,2025-01-26
NOLSM32514921,1,Oxidation,dry,1107.53,O2,32.05,0.22,73,722.23,14,5,2025-01-26
NOLSM32514922,1,Oxidation,wet,1206.05,H2O,37.13,0.14,160,706.88,14,6,2025-01-26
NOLSM32514923,1,Oxidation,dry,1038.81,O2,35.48,0.25,136,687.88,14,7,2025-01-26
NOLSM32514924,1,Oxidation,wet,1091.67,H2O,34.93,0.25,-6,703.74,14,8,2025-01-26
NOLSM32514925,2,Oxidation,dry,1006.13,O2,41.74,0.24,146,708.58,14,9,2025-01-26
NOLSM32514926,2,Oxidation,wet,1162.09,H2O,33.07,0.19,90,699.8,14,10,2025-01-26
NOLSM32514927,2,Oxidation,wet,1054.66,H2O,29.69,0.22,95,703.13,14,11,2025-01-26
NOLSM32514928,2,Oxidation,dry,1104.89,O2,30.02,0.18,115,697.49,14,12,2025-01-26
NOLSM32514929,2,Oxidation,wet,1105.37,H2O,45.92,0.24,56,709.66,14,13,2025-01-26
NOLSM32514930,2,Oxidation,wet,1176.39,H2O,21.12,0.19,107,709.6,14,14,2025-01-26
NOLSM32514931,2,Oxidation,wet,1028.57,H2O,32.25,0.27,44,714.05,14,15,2025-01-26
NOLSM32514932,2,Oxidation,dry,1123.5,O2,29.65,0.19,99,721.65,14,16,2025-01-26
NOLSM32514933,2,Oxidation,wet,1064.64,H2O,41.93,0.18,214,701.51,14,17,2025-01-26
NOLSM32514934,3,Oxidation,wet,1104.08,H2O,40.63,0.37,152,720.52,14,18,2025-01-26
NOLSM32514935,3,Oxidation,dry,1053.7,O2,32.67,0.43,104,710.16,14,19,2025-01-26
NOLSM32514936,3,Oxidation,dry,1028.26,O2,37.0,0.23,75,707.26,14,20,2025-01-26
NOLSM32514937,3,Oxidation,dry,1046.18,O2,36.9,0.29,118,699.56,14,21,2025-01-26
NOLSM32514938,3,Oxidation,wet,1219.44,H2O,35.92,0.32,127,689.63,14,22,2025-01-26
NOLSM32514939,3,Oxidation,wet,1139.65,H2O,38.34,0.24,100,699.71,14,23,2025-01-26
NOLSM32514940,3,Oxidation,dry,1268.94,O2,23.71,0.35,156,715.04,14,24,2025-01-26
NOLSM32514941,1,Oxidation,wet,1050.44,H2O,33.23,-0.05,117,726.6,14,25,2025-01-26
NOLSM32514942,1,Oxidation,wet,1080.24,H2O,31.04,0.19,128,710.89,14,26,2025-01-26
NOLSM32514943,1,Oxidation,wet,998.81,H2O,33.26,0.12,168,714.49,14,27,2025-01-26
NOLSM32514944,2,Oxidation,dry,1102.45,O2,39.21,0.14,135,687.42,15,28,2025-01-20
NOLSM32514945,2,Oxidation,dry,1091.5,O2,35.0,0.39,93,715.02,15,29,2025-01-20
NOLSM32514946,2,Oxidation,wet,1144.27,H2O,31.85,0.33,103,695.5,15,30,2025-01-20
NOLSM32514947,2,Oxidation,wet,970.03,H2O,45.14,0.26,87,705.16,15,31,2025-01-20
NOLSM32514948,2,Oxidation,wet,976.97,H2O,43.52,0.25,103,706.9,15,32,2025-01-20
NOLSM32514949,2,Oxidation,dry,1134.44,O2,26.85,0.16,121,726.49,15,33,2025-01-20
NOLSM32514950,2,Oxidation,wet,1172.88,H2O,32.04,0.1,115,712.01,15,34,2025-01-20
NOLSM32514951,2,Oxidation,dry,984.05,O2,38.75,0.32,129,715.46,15,35,2025-01-20
NOLSM32514952,2,Oxidation,dry,1087.63,O2,32.88,0.34,118,710.55,15,36,2025-01-20
NOLSM32514953,2,Oxidation,dry,1158.38,O2,31.83,0.13,149,703.42,15,37,2025-01-20
NOLSM32514954,2,Oxidation,dry,977.15,O2,39.34,0.35,71,704.67,15,38,2025-01-20
NOLSM32514955,2,Oxidation,dry,1003.09,O2,33.04,0.14,86,711.18,15,39,2025-01-20
NOLSM32514956,2,Oxidation,wet,1120.63,H2O,38.17,0.17,157,707.46,15,40,2025-01-20
NOLSM32514957,2,Oxidation,wet,951.23,H2O,39.98,0.33,74,717.74,15,41,2025-01-20
NOLSM32514958,2,Oxidation,wet,1047.73,H2O,35.62,0.16,112,713.54,15,42,2025-01-20
NOLSM32514959,2,Oxidation,dry,1143.04,O2,28.8,0.26,103,712.68,15,43,2025-01-20
NOLSM32514960,2,Oxidation,wet,1025.11,H2O,34.54,0.35,198,714.24,15,44,2025-01-20
NOLSM32514961,2,Oxidation,wet,1253.28,H2O,34.87,0.14,22,715.43,15,45,2025-01-20
NOLSM32514962,2,Oxidation,wet,1099.53,H2O,32.67,0.27,87,713.03,15,46,2025-01-20
NOLSM32514963,2,Oxidation,wet,1103.44,H2O,38.25,0.23,66,714.26,15,47,2025-01-20
NOLSM32514964,2,Oxidation,dry,1108.3,O2,33.69,0.34,118,710.21,15,48,2025-01-20
NOLSM32514965,2,Oxidation,dry,1259.46,O2,29.22,0.28,177,710.85,15,49,2025-01-20
NOLSM32514966,2,Oxidation,dry,1203.71,O2,49.72,0.02,70,711.66,15,50,2025-01-20
NOLSM32514967,2,Oxidation,dry,1051.58,O2,32.52,0.32,145,709.98,15,51,2025-01-20
NOLSM32514968,2,Oxidation,wet,1186.54,H2O,32.8,0.28,74,715.06,15,52,2025-01-20
NOLSM32514969,2,Oxidation,wet,926.48,H2O,36.6,0.25,75,707.42,15,53,2025-01-20
NOLSM32514970,2,Oxidation,dry,1190.8,O2,35.61,0.39,108,700.69,15,54,2025-01-20
NOLSM32514971,1,Oxidation,dry,1083.91,O2,39.48,0.26,135,687.79,15,1,2025-01-20
NOLSM32514972,1,Oxidation,dry,1086.69,O2,35.17,0.14,93,715.02,15,2,2025-01-20
NOLSM32514973,1,Oxidation,wet,1134.2,H2O,32.0,0.07,103,695.48,15,3,2025-01-20
NOLSM32514974,1,Oxidation,wet,966.03,H2O,45.12,0.15,87,705.18,15,4,2025-01-20
NOLSM32514975,1,Oxidation,wet,973.99,H2O,43.47,0.24,103,706.9,15,5,2025-01-20
NOLSM32514976,2,Oxidation,dry,1130.69,O2,26.87,0.19,121,726.37,15,6,2025-01-20
NOLSM32514977,2,Oxidation,wet,1158.49,H2O,31.83,0.16,115,712.16,15,7,2025-01-20
NOLSM32514978,2,Oxidation,dry,979.73,O2,38.86,0.17,129,715.36,15,8,2025-01-20
NOLSM32514979,2,Oxidation,dry,1080.61,O2,34.18,0.14,118,710.36,15,9,2025-01-20
NOLSM32514980,2,Oxidation,dry,1151.83,O2,41.61,0.09,149,703.28,15,10,2025-01-20
NOLSM32514981,2,Oxidation,dry,957.84,O2,37.59,0.17,71,704.73,15,11,2025-01-20
NOLSM32514982,2,Oxidation,dry,994.55,O2,31.66,0.14,86,711.11,15,12,2025-01-20
NOLSM32514983,2,Oxidation,wet,1109.56,H2O,39.2,0.27,157,707.6,15,13,2025-01-20
NOLSM32514984,3,Oxidation,wet,947.03,H2O,30.37,0.19,74,717.97,15,14,2025-01-20
NOLSM32514985,3,Oxidation,wet,1035.74,H2O,32.51,0.29,112,719.13,15,15,2025-01-20
NOLSM32514986,3,Oxidation,dry,1123.62,O2,32.28,0.2,103,708.69,15,16,2025-01-20
NOLSM32514987,3,Oxidation,wet,1008.64,H2O,28.55,0.12,198,702.26,15,17,2025-01-20
NOLSM32514988,3,Oxidation,wet,1245.5,H2O,29.04,0.21,22,716.6,15,18,2025-01-20
NOLSM32514989,3,Oxidation,wet,1086.88,H2O,35.68,0.34,87,703.85,15,19,2025-01-20
NOLSM32514990,3,Oxidation,wet,1088.5,H2O,33.49,0.36,66,717.28,15,20,2025-01-20
NOLSM32514991,3,Oxidation,dry,1106.92,O2,32.65,0.34,118,719.25,15,21,2025-01-20
NOLSM32514992,1,Oxidation,dry,1253.27,O2,35.1,0.27,177,689.0,15,22,2025-01-20
NOLSM32514993,1,Oxidation,dry,1193.38,O2,34.2,0.32,70,709.57,15,23,2025-01-20
NOLSM32514994,1,Oxidation,dry,1045.64,O2,29.31,0.19,145,708.62,15,24,2025-01-20
NOLSM32514995,1,Oxidation,wet,1178.39,H2O,49.05,0.29,74,715.0,15,25,2025-01-20
NOLSM32514996,1,Oxidation,wet,923.53,H2O,37.09,0.19,75,707.32,15,26,2025-01-20
NOLSM32514997,1,Oxidation,dry,1171.16,O2,29.47,0.19,108,700.81,15,27,2025-01-20
NOLSM32514998,3,Oxidation,dry,991.62,O2,31.98,0.29,144,699.27,16,28,2025-01-21
NOLSM32514999,3,Oxidation,wet,1220.3,H2O,31.41,0.27,125,715.78,16,29,2025-01-21
NOLSM32515000,3,Oxidation,dry,886.49,O2,39.98,0.28,45,732.03,16,30,2025-01-21
NOLSM32515001,3,Oxidation,dry,977.18,O2,30.66,0.15,101,708.99,16,31,2025-01-21
NOLSM32515002,3,Oxidation,wet,1049.85,H2O,29.8,0.14,165,727.76,16,32,2025-01-21
NOLSM32515003,3,Oxidation,dry,1081.57,O2,33.64,0.16,191,715.64,16,33,2025-01-21
NOLSM32515004,3,Oxidation,dry,993.67,O2,31.84,0.28,145,711.15,16,34,2025-01-21
NOLSM32515005,3,Oxidation,wet,1094.37,H2O,37.25,0.39,181,700.86,16,35,2025-01-21
NOLSM32515006,3,Oxidation,dry,1004.38,O2,26.5,0.22,201,704.25,16,36,2025-01-21
NOLSM32515007,3,Oxidation,wet,1058.2,H2O,33.07,0.06,79,698.74,16,37,2025-01-21
NOLSM32515008,3,Oxidation,wet,900.74,H2O,38.12,0.29,59,689.51,16,38,2025-01-21
NOLSM32515009,3,Oxidation,dry,1019.54,O2,23.61,-0.08,89,689.11,16,39,2025-01-21
NOLSM32515010,3,Oxidation,wet,1203.29,H2O,36.26,0.24,162,708.78,16,40,2025-01-21
NOLSM32515011,3,Oxidation,dry,1206.5,O2,41.0,0.24,31,704.39,16,41,2025-01-21
NOLSM32515012,3,Oxidation,wet,1056.84,H2O,34.19,0.11,119,709.23,16,42,2025-01-21
NOLSM32515013,3,Oxidation,wet,1111.52,H2O,34.43,0.14,96,704.98,16,43,2025-01-21
NOLSM32515014,3,Oxidation,wet,1185.29,H2O,33.32,0.21,154,715.36,16,44,2025-01-21
NOLSM32515015,3,Oxidation,wet,1001.46,H2O,42.96,0.17,105,713.32,16,45,2025-01-21
NOLSM32515016,3,Oxidation,dry,1098.36,O2,38.0,0.25,92,704.06,16,46,2025-01-21
NOLSM32515017,3,Oxidation,dry,1055.57,O2,37.51,0.18,101,710.26,16,47,2025-01-21
NOLSM32515018,3,Oxidation,dry,977.77,O2,28.82,0.35,157,706.44,16,48,2025-01-21
NOLSM32515019,3,Oxidation,wet,996.41,H2O,36.87,0.2,150,712.56,16,49,2025-01-21
NOLSM32515020,3,Oxidation,dry,1095.02,O2,40.05,0.2,152,704.96,16,50,2025-01-21
NOLSM32515021,3,Oxidation,dry,1126.88,O2,39.84,0.17,76,704.3,16,51,2025-01-21
NOLSM32515022,3,Oxidation,dry,1044.04,O2,38.49,0.02,72,703.8,16,52,2025-01-21
NOLSM32515023,3,Oxidation,dry,1241.2,O2,40.97,0.25,76,717.38,16,53,2025-01-21
NOLSM32515024,3,Oxidation,dry,1067.0,O2,37.78,0.31,15,713.66,16,54,2025-01-21
NOLSM32515025,1,Oxidation,dry,988.83,O2,31.71,0.33,144,699.27,16,1,2025-01-21
NOLSM32515026,1,Oxidation,wet,1219.69,H2O,31.39,0.29,125,715.83,16,2,2025-01-21
NOLSM32515027,2,Oxidation,dry,871.23,O2,40.14,0.35,45,732.02,16,3,2025-01-21
NOLSM32515028,2,Oxidation,dry,964.7,O2,30.68,0.04,101,709.09,16,4,2025-01-21
NOLSM32515029,2,Oxidation,wet,1044.96,H2O,29.62,0.13,165,727.75,16,5,2025-01-21
NOLSM32515030,2,Oxidation,dry,1070.16,O2,33.58,0.12,191,715.53,16,6,2025-01-21
NOLSM32515031,2,Oxidation,dry,979.72,O2,31.76,0.22,145,711.1,16,7,2025-01-21
NOLSM32515032,2,Oxidation,wet,1077.01,H2O,37.15,0.01,181,700.78,16,8,2025-01-21
NOLSM32515033,2,Oxidation,dry,1002.24,O2,26.47,0.24,201,704.17,16,9,2025-01-21
NOLSM32515034,2,Oxidation,wet,1053.36,H2O,32.93,0.24,79,698.63,16,10,2025-01-21
NOLSM32515035,2,Oxidation,wet,883.76,H2O,37.89,0.14,59,689.48,16,11,2025-01-21
NOLSM32515036,3,Oxidation,dry,1011.79,O2,23.39,0.15,89,689.22,16,12,2025-01-21
NOLSM32515037,3,Oxidation,wet,1196.77,H2O,36.22,0.14,162,708.54,16,13,2025-01-21
NOLSM32515038,3,Oxidation,dry,1191.35,O2,40.92,0.15,31,704.1,16,14,2025-01-21
NOLSM32515039,3,Oxidation,wet,1042.81,H2O,33.96,0.16,119,709.3,16,15,2025-01-21
NOLSM32515040,3,Oxidation,wet,1096.35,H2O,34.52,0.38,96,705.32,16,16,2025-01-21
NOLSM32515041,3,Oxidation,wet,1178.83,H2O,33.24,0.04,154,715.36,16,17,2025-01-21
NOLSM32515042,3,Oxidation,wet,984.41,H2O,42.74,0.07,105,713.35,16,18,2025-01-21
NOLSM32515043,3,Oxidation,dry,1091.09,O2,38.09,0.34,92,703.97,16,19,2025-01-21
NOLSM32515044,1,Oxidation,dry,1049.22,O2,37.48,0.26,101,710.43,16,20,2025-01-21
NOLSM32515045,1,Oxidation,dry,971.97,O2,28.7,0.26,157,706.37,16,21,2025-01-21
NOLSM32515046,1,Oxidation,wet,984.62,H2O,36.95,0.17,150,712.6,16,22,2025-01-21
NOLSM32515047,1,Oxidation,dry,1085.39,O2,39.84,0.12,152,705.21,16,23,2025-01-21
NOLSM32515048,1,Oxidation,dry,1126.09,O2,39.58,0.16,76,704.3,16,24,2025-01-21
NOLSM32515049,1,Oxidation,dry,1043.25,O2,38.52,0.26,72,704.13,16,25,2025-01-21
NOLSM32515050,1,Oxidation,dry,1223.6,O2,41.11,0.26,76,717.45,16,26,2025-01-21
NOLSM32515051,1,Oxidation,dry,1049.73,O2,37.48,0.21,15,694.3,16,27,2025-01-21
NOLSM32515052,3,Oxidation,wet,1061.36,H2O,40.89,0.32,36,712.63,17,28,2025-01-22
NOLSM32515053,3,Oxidation,dry,1208.99,O2,30.46,0.37,50,714.43,17,29,2025-01-22
NOLSM32515054,3,Oxidation,dry,1078.23,O2,34.56,0.06,152,715.58,17,30,2025-01-22
NOLSM32515055,3,Oxidation,wet,1054.2,H2O,29.98,0.18,128,713.0,17,31,2025-01-22
NOLSM32515056,3,Oxidation,dry,1065.2,O2,35.98,0.22,184,714.18,17,32,2025-01-22
NOLSM32515057,3,Oxidation,dry,1080.39,O2,38.48,0.33,87,710.04,17,33,2025-01-22
NOLSM32515058,3,Oxidation,dry,959.04,O2,34.64,0.26,135,710.55,17,34,2025-01-22
NOLSM32515059,3,Oxidation,wet,994.93,H2O,33.85,0.25,69,711.56,17,35,2025-01-22
NOLSM32515060,3,Oxidation,dry,1186.51,O2,32.78,0.16,140,709.93,17,36,2025-01-22
NOLSM32515061,3,Oxidation,wet,1032.72,H2O,31.94,0.32,156,702.45,17,37,2025-01-22
NOLSM32515062,3,Oxidation,dry,1228.29,O2,39.24,0.32,179,699.64,17,38,2025-01-22
NOLSM32515063,3,Oxidation,dry,1111.18,O2,33.04,0.09,94,732.91,17,39,2025-01-22
NOLSM32515064,3,Oxidation,dry,1194.62,O2,38.03,0.33,117,698.31,17,40,2025-01-22
NOLSM32515065,3,Oxidation,dry,1199.07,O2,39.88,0.17,127,702.92,17,41,2025-01-22
NOLSM32515066,3,Oxidation,wet,1024.22,H2O,35.56,0.3,101,704.94,17,42,2025-01-22
NOLSM32515067,3,Oxidation,dry,1279.72,O2,28.56,0.26,145,720.42,17,43,2025-01-22
NOLSM32515068,3,Oxidation,dry,1148.93,O2,34.61,0.22,103,716.0,17,44,2025-01-22
NOLSM32515069,3,Oxidation,wet,1136.43,H2O,35.04,-0.0,129,716.47,17,45,2025-01-22
NOLSM32515070,3,Oxidation,dry,1097.81,O2,32.52,0.22,133,714.12,17,46,2025-01-22
NOLSM32515071,3,Oxidation,dry,1193.1,O2,37.89,0.28,146,717.11,17,47,2025-01-22
NOLSM32515072,3,Oxidation,dry,875.66,O2,33.85,0.16,56,703.82,17,48,2025-01-22
NOLSM32515073,3,Oxidation,wet,1068.0,H2O,28.97,0.25,112,699.52,17,49,2025-01-22
NOLSM32515074,3,Oxidation,dry,1030.94,O2,49.96,0.08,181,699.18,17,50,2025-01-22
NOLSM32515075,3,Oxidation,dry,1124.21,O2,32.31,0.13,118,691.04,17,51,2025-01-22
NOLSM32515076,3,Oxidation,dry,1100.81,O2,32.59,0.18,154,716.04,17,52,2025-01-22
NOLSM32515077,3,Oxidation,wet,1092.84,H2O,36.66,0.17,168,700.3,17,53,2025-01-22
NOLSM32515078,3,Oxidation,dry,1143.6,O2,35.46,0.06,152,707.54,17,54,2025-01-22
NOLSM32515079,2,Oxidation,wet,1042.35,H2O,40.68,0.02,36,696.58,17,1,2025-01-22
NOLSM32515080,2,Oxidation,dry,1206.25,O2,30.54,0.16,50,712.88,17,2,2025-01-22
NOLSM32515081,2,Oxidation,dry,1070.93,O2,34.57,0.21,152,705.79,17,3,2025-01-22
NOLSM32515082,2,Oxidation,wet,1037.62,H2O,30.03,0.2,128,720.77,17,4,2025-01-22
NOLSM32515083,2,Oxidation,dry,1059.74,O2,35.92,0.08,184,702.23,17,5,2025-01-22
NOLSM32515084,2,Oxidation,dry,1079.25,O2,38.41,0.27,87,726.6,17,6,2025-01-22
NOLSM32515085,2,Oxidation,dry,956.59,O2,34.68,0.21,135,699.0,17,7,2025-01-22
NOLSM32515086,2,Oxidation,wet,993.65,H2O,33.87,0.25,69,712.73,17,8,2025-01-22
NOLSM32515087,3,Oxidation,dry,1183.24,O2,33.26,0.11,140,710.14,17,9,2025-01-22
NOLSM32515088,3,Oxidation,wet,1027.91,H2O,30.65,0.31,156,702.49,17,10,2025-01-22
NOLSM32515089,3,Oxidation,dry,1210.22,O2,33.81,0.31,179,699.54,17,11,2025-01-22
NOLSM32515090,3,Oxidation,dry,1108.36,O2,40.63,0.17,94,732.92,17,12,2025-01-22
NOLSM32515091,3,Oxidation,dry,1190.97,O2,36.63,0.3,117,698.27,17,13,2025-01-22
NOLSM32515092,3,Oxidation,dry,1188.89,O2,35.5,0.23,127,703.08,17,14,2025-01-22
NOLSM32515093,3,Oxidation,wet,1011.79,H2O,34.2,0.3,101,705.06,17,15,2025-01-22
NOLSM32515094,3,Oxidation,dry,1259.93,O2,37.71,0.31,145,720.76,17,16,2025-01-22
NOLSM32515095,1,Oxidation,dry,1132.49,O2,34.57,0.16,103,716.15,17,17,2025-01-22
NOLSM32515096,1,Oxidation,wet,1130.16,H2O,33.19,0.07,129,716.6,17,18,2025-01-22
NOLSM32515097,1,Oxidation,dry,1081.41,O2,35.88,0.32,133,714.0,17,19,2025-01-22
NOLSM32515098,1,Oxidation,dry,1181.58,O2,35.59,0.22,146,717.26,17,20,2025-01-22
NOLSM32515099,1,Oxidation,dry,862.0,O2,29.02,0.14,56,703.94,17,21,2025-01-22
NOLSM32515100,1,Oxidation,wet,1067.23,H2O,40.41,0.23,112,699.31,17,22,2025-01-22
NOLSM32515101,1,Oxidation,dry,1030.09,O2,36.85,0.17,181,699.33,17,23,2025-01-22
NOLSM32515102,2,Oxidation,dry,1114.65,O2,33.39,0.25,118,690.95,17,24,2025-01-22
NOLSM32515103,2,Oxidation,dry,1096.39,O2,31.73,0.28,154,716.1,17,25,2025-01-22
NOLSM32515104,2,Oxidation,wet,1089.25,H2O,30.47,0.19,168,700.4,17,26,2025-01-22
NOLSM32515105,2,Oxidation,dry,1141.88,O2,27.49,0.1,152,707.66,17,27,2025-01-22
NOLSM32515106,3,Oxidation,dry,871.05,O2,36.87,0.1,195,688.5,18,28,2025-01-23
NOLSM32515107,3,Oxidation,dry,888.08,O2,22.27,0.25,199,690.99,18,29,2025-01-23
NOLSM32515108,3,Oxidation,dry,888.05,O2,22.19,0.18,215,704.56,18,30,2025-01-23
NOLSM32515109,3,Oxidation,dry,885.39,O2,22.03,0.17,32,707.94,18,31,2025-01-23
NOLSM32515110,3,Oxidation,dry,889.65,O2,22.31,0.15,31,712.69,18,32,2025-01-23
NOLSM32515111,3,Oxidation,dry,882.09,O2,22.08,0.23,31,712.46,18,33,2025-01-23
NOLSM32515112,3,Oxidation,dry,885.9,O2,22.22,0.25,33,712.27,18,34,2025-01-23
NOLSM32515113,3,Oxidation,dry,880.36,O2,22.15,0.37,33,713.75,18,35,2025-01-23
NOLSM32515114,3,Oxidation,dry,882.51,O2,22.37,0.04,32,713.76,18,36,2025-01-23
