No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
NOLSM32514786,2,Implantation,1.21e+16,1.21e+17,3.7e+17,3e+17,6e+17,32255.72,101.284,868.0,152,32,35,2025-01-17
NOLSM32514787,3,Implantation,1.81e+16,1.76e+17,1.03e+18,3e+17,6e+17,32252.749,101.227,868.0,152,32,36,2025-01-17
NOLSM32514788,1,Implantation,2440000000000000.0,2.31e+16,1.36e+17,3e+17,6e+17,32253.694,100.766,868.0,151,32,37,2025-01-17
NOLSM32514789,2,Implantation,1.05e+16,9.51e+16,6.27e+17,3.01e+17,6e+17,32248.648,101.593,868.0,152,32,38,2025-01-17
NOLSM32514790,3,Implantation,6910000000000000.0,5.43e+16,1.87e+17,3.01e+17,6e+17,32241.299,101.114,867.0,152,32,39,2025-01-17
NOLSM32514791,1,Implantation,9320000000000000.0,7670000000000000.0,3.07e+17,2.99e+17,6e+17,32245.627,101.472,868.0,152,32,40,2025-01-17
NOLSM32514792,2,Implantation,1.18e+16,2.79e+16,328000000000000.1,2.99e+17,6e+17,32259.427,101.522,868.0,152,32,41,2025-01-17
NOLSM32514793,3,Implantation,1.51e+16,1.5e+17,7.05e+17,2.99e+17,6e+17,32258.379,101.398,868.0,152,32,42,2025-01-17
NOLSM32514794,1,Implantation,8570000000000000.0,8.71e+16,7.37e+17,3.03e+17,6e+17,31654.904,100.592,917.0,150,12,1,2025-01-17
NOLSM32514795,3,Implantation,1.36e+16,1.18e+17,5.86e+17,3e+17,6e+17,32420.339,102.943,884.0,152,12,2,2025-01-17
NOLSM32514796,3,Implantation,1.59e+16,5.51e+16,5.1e+17,3e+17,6e+17,32096.285,102.374,896.0,158,12,3,2025-01-17
NOLSM32514797,2,Implantation,1.2e+16,1.24e+17,2.27e+17,2.98e+17,6e+17,32563.023,100.442,901.0,152,12,4,2025-01-17
NOLSM32514798,1,Implantation,1.18e+16,1.01e+17,6.66e+16,2.98e+17,6e+17,30885.426,103.106,884.0,156,12,5,2025-01-17
NOLSM32514799,1,Implantation,1.02e+16,1.46e+17,6.64e+17,3.01e+17,6e+17,31320.212,101.871,884.0,153,12,6,2025-01-17
NOLSM32514800,2,Implantation,1.33e+16,1.28e+17,6.79e+17,3e+17,6e+17,31877.963,103.062,910.0,152,12,7,2025-01-17
NOLSM32514801,3,Implantation,1.42e+16,7.44e+16,4.61e+17,2.98e+17,6e+17,32008.043,103.571,886.0,155,12,8,2025-01-17
NOLSM32514802,3,Implantation,1.23e+16,1.64e+17,6.5e+17,2.98e+17,6e+17,31059.957,101.254,880.0,155,12,9,2025-01-17
NOLSM32514803,2,Implantation,1.43e+16,1.42e+17,5.39e+16,3.03e+17,6e+17,31195.798,99.73,896.0,156,12,10,2025-01-17
NOLSM32514804,1,Implantation,1.56e+16,1.15e+17,1.04e+18,3.01e+17,6e+17,30345.719,104.47,883.0,153,12,11,2025-01-17
NOLSM32514805,1,Implantation,9040000000000000.0,1.57e+17,1.96e+17,2.99e+17,6e+17,32640.367,103.211,870.0,154,12,12,2025-01-17
NOLSM32514806,2,Implantation,9260000000000000.0,6.7e+16,7e+17,3.02e+17,6e+17,31812.958,103.203,906.0,151,12,13,2025-01-17
NOLSM32514807,3,Implantation,9010000000000000.0,8.81e+16,1.08e+18,2.99e+17,6e+17,31897.147,104.13,885.0,156,12,14,2025-01-17
NOLSM32514808,2,Implantation,7390000000000000.0,1.3e+17,3.11e+17,3.01e+17,6e+17,31335.376,100.29,913.0,155,12,15,2025-01-17
NOLSM32514809,1,Implantation,1.33e+16,1.42e+17,3.54e+17,2.99e+17,6e+17,31661.908,102.558,885.0,154,12,16,2025-01-17
NOLSM32514810,1,Implantation,1.13e+16,1.17e+17,8.01e+17,3e+17,6e+17,30483.479,102.112,893.0,156,12,17,2025-01-17
NOLSM32514811,2,Implantation,7050000000000000.0,8.08e+16,4.8e+17,3e+17,6e+17,32041.516,102.796,921.0,158,12,18,2025-01-17
NOLSM32514812,3,Implantation,1.7e+16,1.79e+17,7.08e+17,3e+17,6e+17,31843.896,101.521,897.0,155,12,19,2025-01-17
NOLSM32514813,3,Implantation,8560000000000000.0,6.81e+16,6.64e+17,3.02e+17,6e+17,30427.16,104.291,892.0,158,12,20,2025-01-17
NOLSM32514814,2,Implantation,8270000000000000.0,9.34e+16,5.31e+17,3.01e+17,6e+17,31076.643,102.589,918.0,152,12,21,2025-01-17
NOLSM32514815,1,Implantation,1.17e+16,4.06e+16,5.88e+17,2.99e+17,6e+17,31775.472,102.636,924.0,154,12,22,2025-01-17
NOLSM32514816,1,Implantation,1.46e+16,1.03e+17,6.53e+17,3e+17,6e+17,31621.447,101.643,889.0,153,12,23,2025-01-17
NOLSM32514817,2,Implantation,1.13e+16,1.66e+17,2.32e+17,3.01e+17,6e+17,31947.964,103.798,908.0,155,12,24,2025-01-17
NOLSM32514818,3,Implantation,1.85e+16,1.2e+17,3.9e+17,3e+17,6e+17,31259.749,104.359,917.0,154,12,25,2025-01-17
NOLSM32514819,3,Implantation,1.41e+16,7.02e+16,2.63e+17,3.01e+17,6e+17,32083.136,102.627,909.0,154,12,26,2025-01-17
NOLSM32514820,2,Implantation,9650000000000000.0,8.08e+16,6.97e+17,3e+17,6e+17,31228.214,102.779,887.0,155,12,27,2025-01-17
NOLSM32514821,2,Implantation,1.02e+16,9.86e+16,1.21e+17,3.01e+17,6e+17,32252.763,101.722,868.0,153,32,1,2025-01-17
NOLSM32514822,1,Implantation,4080000000000000.0,2.68e+16,1.94e+16,2.99e+17,6e+17,32103.246,102.401,867.0,154,32,2,2025-01-17
NOLSM32514823,1,Implantation,4590000000000000.0,955000000000000.0,4.15e+16,3.02e+17,6e+17,32421.769,102.083,867.0,153,32,3,2025-01-17
NOLSM32514824,2,Implantation,1.61e+16,120000000000.085,27600000000000.16,2.99e+17,6e+17,32251.743,102.73,868.0,154,32,4,2025-01-17
NOLSM32514825,3,Implantation,5060000000000000.0,1.88e+16,4.19e+16,3.01e+17,6e+17,32241.48,101.409,868.0,152,32,5,2025-01-17
NOLSM32514826,3,Implantation,8130000000000000.0,4.14e+16,4.23e+17,3e+17,6e+17,32242.215,101.809,868.0,153,32,6,2025-01-17
NOLSM32514827,2,Implantation,2.06e+16,8.12e+16,212000000000000.0,2.99e+17,6e+17,32240.988,101.285,868.0,152,32,7,2025-01-17
NOLSM32514828,1,Implantation,1.21e+16,1.21e+17,3.7e+17,3e+17,6e+17,32255.693,101.407,868.0,152,32,8,2025-01-17
NOLSM32514829,1,Implantation,1.81e+16,1.76e+17,1.03e+18,3e+17,6e+17,32252.781,101.275,868.0,152,32,9,2025-01-17
NOLSM32514830,2,Implantation,2440000000000000.0,2.31e+16,1.36e+17,3e+17,6e+17,32253.882,100.584,868.0,151,32,10,2025-01-17
NOLSM32514831,3,Implantation,1.05e+16,9.51e+16,6.27e+17,3.01e+17,6e+17,32248.603,101.551,868.0,152,32,11,2025-01-17
NOLSM32514832,3,Implantation,6910000000000000.0,5.43e+16,1.87e+17,3.01e+17,6e+17,32241.427,100.958,867.0,152,32,12,2025-01-17
NOLSM32514833,2,Implantation,9320000000000000.0,7670000000000000.0,3.07e+17,2.99e+17,6e+17,32245.605,101.474,868.0,152,32,13,2025-01-17
NOLSM32514834,1,Implantation,1.18e+16,2.79e+16,327999999999999.94,2.99e+17,6e+17,32259.42,101.305,868.0,152,32,14,2025-01-17
NOLSM32514835,1,Implantation,1.51e+16,1.5e+17,7.05e+17,2.99e+17,6e+17,32258.242,101.382,868.0,152,32,15,2025-01-17
NOLSM32514836,1,Implantation,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.699,103.404,854.0,154,13,28,2025-01-18
NOLSM32514837,2,Implantation,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.723,105.496,895.0,156,13,29,2025-01-18
NOLSM32514838,3,Implantation,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.944,102.593,898.0,152,13,30,2025-01-18
NOLSM32514839,1,Implantation,8890000000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.564,102.92,879.0,155,13,31,2025-01-18
NOLSM32514840,2,Implantation,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31986.147,101.539,882.0,155,13,32,2025-01-18
NOLSM32514841,3,Implantation,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.678,103.919,871.0,152,13,33,2025-01-18
NOLSM32514842,1,Implantation,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.347,102.881,916.0,157,13,34,2025-01-18
NOLSM32514843,2,Implantation,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.407,104.423,891.0,153,13,35,2025-01-18
NOLSM32514844,3,Implantation,1.45e+16,6.48e+16,-8790000000000000.0,3.01e+17,6e+17,31810.253,103.428,903.0,153,13,36,2025-01-18
NOLSM32514845,1,Implantation,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.832,102.811,883.0,161,13,37,2025-01-18
NOLSM32514846,2,Implantation,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.873,103.337,862.0,154,13,38,2025-01-18
NOLSM32514847,3,Implantation,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31195.998,104.554,892.0,154,13,39,2025-01-18
NOLSM32514848,1,Implantation,1.13e+16,-1.31e+16,5.4e+17,3e+17,6e+17,31201.519,103.219,902.0,158,13,40,2025-01-18
NOLSM32514849,2,Implantation,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31084.221,101.61,895.0,153,13,41,2025-01-18
NOLSM32514850,3,Implantation,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32253.898,102.756,904.0,155,13,42,2025-01-18
NOLSM32514851,1,Implantation,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.39,102.676,882.0,155,13,43,2025-01-18
NOLSM32514852,2,Implantation,7830000000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.106,104.997,896.0,150,13,44,2025-01-18
NOLSM32514853,3,Implantation,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.546,100.712,898.0,155,13,45,2025-01-18
NOLSM32514854,1,Implantation,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31662.007,101.178,891.0,149,13,46,2025-01-18
NOLSM32514855,2,Implantation,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.88,103.319,880.0,156,13,47,2025-01-18
NOLSM32514856,3,Implantation,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.638,102.108,878.0,156,13,48,2025-01-18
NOLSM32514857,1,Implantation,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.297,101.796,912.0,155,13,49,2025-01-18
NOLSM32514858,2,Implantation,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.783,101.809,914.0,155,13,50,2025-01-18
NOLSM32514859,3,Implantation,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.372,102.976,899.0,156,13,51,2025-01-18
NOLSM32514860,1,Implantation,9270000000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.229,102.723,903.0,157,13,52,2025-01-18
NOLSM32514861,2,Implantation,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31220.968,104.232,879.0,155,13,53,2025-01-18
NOLSM32514862,3,Implantation,7200000000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.1,100.514,890.0,157,13,54,2025-01-18
NOLSM32514863,1,Implantation,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.979,103.489,854.0,154,13,1,2025-01-18
NOLSM32514864,1,Implantation,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.509,105.539,895.0,156,13,2,2025-01-18
NOLSM32514865,2,Implantation,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31058.005,102.551,898.0,152,13,3,2025-01-18
NOLSM32514866,3,Implantation,8890000000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.609,103.128,879.0,155,13,4,2025-01-18
NOLSM32514867,3,Implantation,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31985.971,101.417,882.0,155,13,5,2025-01-18
NOLSM32514868,2,Implantation,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.597,103.813,871.0,152,13,6,2025-01-18
NOLSM32514869,1,Implantation,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.148,102.94,916.0,157,13,7,2025-01-18
NOLSM32514870,1,Implantation,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.391,104.222,891.0,153,13,8,2025-01-18
NOLSM32514871,2,Implantation,1.45e+16,6.48e+16,-8790000000000000.0,3.01e+17,6e+17,31810.506,103.698,903.0,153,13,9,2025-01-18
NOLSM32514872,3,Implantation,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.723,102.758,883.0,161,13,10,2025-01-18
NOLSM32514873,3,Implantation,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.892,103.204,862.0,154,13,11,2025-01-18
NOLSM32514874,2,Implantation,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.007,104.573,892.0,154,13,12,2025-01-18
NOLSM32514875,1,Implantation,1.13e+16,-1.31e+16,5.4e+17,3e+17,6e+17,31201.355,103.236,902.0,158,13,13,2025-01-18
NOLSM32514876,1,Implantation,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31084.313,101.629,895.0,153,13,14,2025-01-18
NOLSM32514877,2,Implantation,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32253.968,102.764,904.0,155,13,15,2025-01-18
NOLSM32514878,3,Implantation,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.331,102.782,882.0,155,13,16,2025-01-18
NOLSM32514879,3,Implantation,7830000000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.258,105.06,896.0,150,13,17,2025-01-18
NOLSM32514880,2,Implantation,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.368,100.778,898.0,155,13,18,2025-01-18
NOLSM32514881,1,Implantation,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31661.942,101.104,891.0,149,13,19,2025-01-18
NOLSM32514882,1,Implantation,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.973,103.084,880.0,156,13,20,2025-01-18
NOLSM32514883,3,Implantation,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.596,102.201,878.0,156,13,21,2025-01-18
NOLSM32514884,3,Implantation,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.292,101.924,912.0,155,13,22,2025-01-18
NOLSM32514885,2,Implantation,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.581,101.626,914.0,155,13,23,2025-01-18
NOLSM32514886,1,Implantation,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.349,102.871,899.0,156,13,24,2025-01-18
NOLSM32514887,1,Implantation,9270000000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.275,102.69,903.0,157,13,25,2025-01-18
NOLSM32514888,2,Implantation,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31220.966,104.073,879.0,155,13,26,2025-01-18
NOLSM32514889,3,Implantation,7200000000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.358,100.443,890.0,157,13,27,2025-01-18
NOLSM32514890,1,Implantation,1.09e+16,-4.12e+16,9.74e+17,3.03e+17,6e+17,31292.81,100.755,899.0,151,14,28,2025-01-26
NOLSM32514891,2,Implantation,1.14e+16,7.25e+16,8.05e+17,2.99e+17,6e+17,32015.259,103.09,874.0,155,14,29,2025-01-26
NOLSM32514892,3,Implantation,1.62e+16,8.58e+16,4.53e+17,3.01e+17,6e+17,30828.462,102.949,882.0,158,14,30,2025-01-26
NOLSM32514893,1,Implantation,1.24e+16,1.5e+17,3.6e+17,2.99e+17,6e+17,32525.895,102.835,926.0,156,14,31,2025-01-26
NOLSM32514894,2,Implantation,1.54e+16,4.3e+16,5.93e+17,3.02e+17,6e+17,31584.065,102.37,925.0,156,14,32,2025-01-26
NOLSM32514895,3,Implantation,1.65e+16,1.26e+17,8.12e+17,3e+17,6e+17,31743.877,104.253,914.0,156,14,33,2025-01-26
NOLSM32514896,1,Implantation,7240000000000000.0,1.96e+17,5.41e+17,2.96e+17,6e+17,32590.393,106.12,915.0,154,14,34,2025-01-26
NOLSM32514897,2,Implantation,9910000000000000.0,6.1e+16,1.66e+17,3.02e+17,6e+17,32202.053,103.762,882.0,153,14,35,2025-01-26
NOLSM32514898,3,Implantation,1.38e+16,1.09e+17,7.02e+17,3e+17,6e+17,31168.161,104.275,888.0,159,14,36,2025-01-26
NOLSM32514899,1,Implantation,1.79e+16,8.57e+16,6.04e+17,3e+17,6e+17,30598.205,102.583,860.0,155,14,37,2025-01-26
NOLSM32514900,2,Implantation,1.07e+16,9.57e+16,2.49e+17,3.01e+17,6e+17,32095.525,103.425,902.0,155,14,38,2025-01-26
NOLSM32514901,3,Implantation,1.44e+16,5.22e+16,9.28e+17,2.99e+17,6e+17,31074.158,101.329,893.0,155,14,39,2025-01-26
NOLSM32514902,1,Implantation,1e+16,1.31e+17,6.99e+17,3e+17,6e+17,31732.551,104.266,912.0,153,14,40,2025-01-26
NOLSM32514903,2,Implantation,8190000000000000.0,7.54e+16,8.47e+17,2.99e+17,6e+17,31559.455,101.703,909.0,154,14,41,2025-01-26
NOLSM32514904,3,Implantation,8240000000000000.0,1.24e+16,8.48e+17,3e+17,6e+17,31251.227,101.828,906.0,155,14,42,2025-01-26
NOLSM32514905,1,Implantation,8270000000000000.0,7.79e+16,5.92e+17,3e+17,6e+17,31364.225,103.819,906.0,155,14,43,2025-01-26
NOLSM32514906,2,Implantation,1.22e+16,1.13e+17,8.25e+17,3e+17,6e+17,32166.624,102.569,911.0,153,14,44,2025-01-26
NOLSM32514907,3,Implantation,1.18e+16,1.14e+17,4.73e+17,2.99e+17,6e+17,32602.505,103.983,917.0,160,14,45,2025-01-26
NOLSM32514908,1,Implantation,6750000000000000.0,9.89e+16,2.11e+17,3e+17,6e+17,31126.809,103.708,894.0,156,14,46,2025-01-26
NOLSM32514909,2,Implantation,1.49e+16,3.52e+16,4.27e+17,3.01e+17,6e+17,31795.45,104.13,875.0,154,14,47,2025-01-26
NOLSM32514910,3,Implantation,6750000000000000.0,1.08e+17,6.22e+17,3.01e+17,6e+17,31209.119,103.807,884.0,156,14,48,2025-01-26
NOLSM32514911,1,Implantation,2980000000000000.0,8.43e+16,6.48e+17,3.01e+17,6e+17,30953.953,99.687,895.0,155,14,49,2025-01-26
NOLSM32514912,2,Implantation,1.58e+16,9.95e+16,3.07e+17,3.02e+17,6e+17,31265.065,101.948,916.0,150,14,50,2025-01-26
NOLSM32514913,3,Implantation,6410000000000000.0,5500000000000000.0,4.5e+17,2.99e+17,6e+17,32267.35,104.228,907.0,155,14,51,2025-01-26
NOLSM32514914,1,Implantation,1.54e+16,5.38e+16,2.17e+17,3.03e+17,6e+17,31799.941,103.867,917.0,150,14,52,2025-01-26
NOLSM32514915,2,Implantation,1.23e+16,8.84e+16,6.37e+17,2.99e+17,6e+17,32222.296,104.611,893.0,157,14,53,2025-01-26
NOLSM32514916,3,Implantation,3410000000000000.0,1.26e+17,6.61e+17,3.01e+17,6e+17,32130.429,102.426,900.0,157,14,54,2025-01-26
NOLSM32514917,3,Implantation,1.09e+16,-4.12e+16,9.74e+17,3.03e+17,6e+17,31292.675,100.841,899.0,151,14,1,2025-01-26
NOLSM32514918,2,Implantation,1.14e+16,7.25e+16,8.05e+17,2.99e+17,6e+17,32015.047,103.051,874.0,155,14,2,2025-01-26
NOLSM32514919,1,Implantation,1.62e+16,8.58e+16,4.53e+17,3.01e+17,6e+17,30828.374,103.025,882.0,158,14,3,2025-01-26
NOLSM32514920,1,Implantation,1.24e+16,1.5e+17,3.6e+17,2.99e+17,6e+17,32525.891,102.779,926.0,156,14,4,2025-01-26
NOLSM32514921,2,Implantation,1.54e+16,4.3e+16,5.93e+17,3.02e+17,6e+17,31584.126,102.457,925.0,156,14,5,2025-01-26
NOLSM32514922,3,Implantation,1.65e+16,1.26e+17,8.12e+17,3e+17,6e+17,31744.118,104.105,914.0,156,14,6,2025-01-26
NOLSM32514923,2,Implantation,7240000000000000.0,1.96e+17,5.41e+17,2.96e+17,6e+17,32590.434,106.175,915.0,154,14,7,2025-01-26
NOLSM32514924,1,Implantation,9910000000000000.0,6.1e+16,1.66e+17,3.02e+17,6e+17,32202.174,103.729,882.0,153,14,8,2025-01-26
NOLSM32514925,1,Implantation,1.38e+16,1.09e+17,7.02e+17,3e+17,6e+17,31167.824,104.366,888.0,159,14,9,2025-01-26
NOLSM32514926,2,Implantation,1.79e+16,8.57e+16,6.04e+17,3e+17,6e+17,30598.132,102.699,860.0,155,14,10,2025-01-26
NOLSM32514927,3,Implantation,1.07e+16,9.57e+16,2.49e+17,3.01e+17,6e+17,32095.552,103.504,902.0,155,14,11,2025-01-26
NOLSM32514928,3,Implantation,1.44e+16,5.22e+16,9.28e+17,2.99e+17,6e+17,31074.064,101.417,893.0,155,14,12,2025-01-26
NOLSM32514929,2,Implantation,1e+16,1.31e+17,6.99e+17,3e+17,6e+17,31732.474,104.252,912.0,153,14,13,2025-01-26
NOLSM32514930,1,Implantation,8190000000000000.0,7.54e+16,8.47e+17,2.99e+17,6e+17,31559.436,101.553,909.0,154,14,14,2025-01-26
NOLSM32514931,1,Implantation,8240000000000000.0,1.24e+16,8.48e+17,3e+17,6e+17,31251.415,101.774,906.0,155,14,15,2025-01-26
NOLSM32514932,2,Implantation,8270000000000000.0,7.79e+16,5.92e+17,3e+17,6e+17,31364.237,103.78,906.0,155,14,16,2025-01-26
NOLSM32514933,3,Implantation,1.22e+16,1.13e+17,8.25e+17,3e+17,6e+17,32166.607,102.576,911.0,153,14,17,2025-01-26
NOLSM32514934,3,Implantation,1.18e+16,1.14e+17,4.73e+17,2.99e+17,6e+17,32602.476,104.007,917.0,160,14,18,2025-01-26
NOLSM32514935,2,Implantation,6750000000000000.0,9.89e+16,2.11e+17,3e+17,6e+17,31126.834,103.759,894.0,156,14,19,2025-01-26
NOLSM32514936,1,Implantation,1.49e+16,3.52e+16,4.27e+17,3.01e+17,6e+17,31795.627,104.198,875.0,154,14,20,2025-01-26
NOLSM32514937,1,Implantation,6750000000000000.0,1.08e+17,6.22e+17,3.01e+17,6e+17,31209.046,103.807,884.0,156,14,21,2025-01-26
NOLSM32514938,2,Implantation,2980000000000000.0,8.43e+16,6.48e+17,3.01e+17,6e+17,30954.006,99.541,895.0,155,14,22,2025-01-26
NOLSM32514939,3,Implantation,1.58e+16,9.95e+16,3.07e+17,3.02e+17,6e+17,31265.069,102.048,916.0,150,14,23,2025-01-26
NOLSM32514940,1,Implantation,6410000000000000.0,5500000000000000.0,4.5e+17,2.99e+17,6e+17,32267.006,104.207,907.0,155,14,24,2025-01-26
NOLSM32514941,1,Implantation,1.54e+16,5.38e+16,2.17e+17,3.03e+17,6e+17,31800.04,104.193,917.0,150,14,25,2025-01-26
NOLSM32514942,2,Implantation,1.23e+16,8.84e+16,6.37e+17,2.99e+17,6e+17,32222.308,104.625,893.0,157,14,26,2025-01-26
NOLSM32514943,3,Implantation,3410000000000000.0,1.26e+17,6.61e+17,3.01e+17,6e+17,32130.295,102.414,900.0,157,14,27,2025-01-26
NOLSM32514944,1,Implantation,2880000000000000.0,-1.2e+16,5.22e+17,3.01e+17,6e+17,32241.591,101.985,912.0,156,15,28,2025-01-20
NOLSM32514945,2,Implantation,8140000000000000.0,1.65e+17,2.54e+17,3.01e+17,6e+17,32695.375,100.548,893.0,158,15,29,2025-01-20
NOLSM32514946,3,Implantation,1.42e+16,9.77e+16,3.16e+17,2.99e+17,6e+17,32457.975,103.171,894.0,152,15,30,2025-01-20
NOLSM32514947,1,Implantation,1.23e+16,9.7e+16,3.21e+17,3.01e+17,6e+17,32385.531,100.977,901.0,155,15,31,2025-01-20
NOLSM32514948,2,Implantation,1.78e+16,6.64e+16,6.58e+17,3e+17,6e+17,32928.738,104.675,885.0,153,15,32,2025-01-20
NOLSM32514949,3,Implantation,5990000000000000.0,1.35e+17,1.14e+18,2.99e+17,6e+17,32507.439,103.846,907.0,153,15,33,2025-01-20
NOLSM32514950,1,Implantation,9960000000000000.0,5.89e+16,6.87e+17,3.01e+17,6e+17,31557.73,99.561,897.0,154,15,34,2025-01-20
NOLSM32514951,2,Implantation,7060000000000000.0,1.19e+17,5.26e+17,3e+17,6e+17,32314.824,102.476,916.0,153,15,35,2025-01-20
NOLSM32514952,3,Implantation,1.17e+16,5.23e+16,5.98e+17,3.01e+17,6e+17,32704.622,104.716,911.0,153,15,36,2025-01-20
NOLSM32514953,1,Implantation,8720000000000000.0,1.38e+17,3.74e+17,3.01e+17,6e+17,32148.346,104.284,896.0,158,15,37,2025-01-20
NOLSM32514954,2,Implantation,1.15e+16,1.52e+17,4.58e+17,3e+17,6e+17,32153.391,101.99,911.0,156,15,38,2025-01-20
NOLSM32514955,3,Implantation,1.46e+16,2.69e+16,6.04e+17,3e+17,6e+17,32034.36,107.315,878.0,156,15,39,2025-01-20
NOLSM32514956,1,Implantation,9500000000000000.0,1.14e+17,4.29e+17,3.03e+17,6e+17,30966.457,105.375,903.0,152,15,40,2025-01-20
NOLSM32514957,2,Implantation,1.11e+16,1.46e+17,3.77e+17,3e+17,6e+17,31509.208,104.285,884.0,154,15,41,2025-01-20
NOLSM32514958,3,Implantation,1.15e+16,9.13e+16,4.82e+17,3.03e+17,6e+17,31497.222,105.027,906.0,152,15,42,2025-01-20
NOLSM32514959,1,Implantation,2.01e+16,1.58e+17,5.62e+17,3.01e+17,6e+17,30883.885,100.616,906.0,150,15,43,2025-01-20
NOLSM32514960,2,Implantation,7300000000000000.0,1.79e+17,3.31e+17,3e+17,6e+17,32548.637,101.686,913.0,153,15,44,2025-01-20
NOLSM32514961,3,Implantation,1.34e+16,8.04e+16,3.52e+17,3.01e+17,6e+17,32096.764,102.842,889.0,154,15,45,2025-01-20
NOLSM32514962,1,Implantation,8720000000000000.0,5.58e+16,4.22e+17,3e+17,6e+17,31876.632,103.359,900.0,156,15,46,2025-01-20
NOLSM32514963,2,Implantation,1.62e+16,5.1e+16,4.6e+17,2.99e+17,6e+17,31373.345,103.858,911.0,154,15,47,2025-01-20
NOLSM32514964,3,Implantation,1.08e+16,7.93e+16,4.8e+17,2.98e+17,6e+17,32270.895,102.695,903.0,157,15,48,2025-01-20
NOLSM32514965,1,Implantation,1.44e+16,1.29e+17,6.72e+17,2.99e+17,6e+17,32062.338,104.269,885.0,152,15,49,2025-01-20
NOLSM32514966,2,Implantation,1.73e+16,9.95e+16,-6.12e+16,3e+17,6e+17,32375.036,104.242,898.0,155,15,50,2025-01-20
NOLSM32514967,3,Implantation,8720000000000000.0,1e+17,6.54e+17,2.98e+17,6e+17,31438.605,104.736,908.0,148,15,51,2025-01-20
NOLSM32514968,1,Implantation,7300000000000000.0,1.13e+17,6.12e+17,3e+17,6e+17,32297.332,102.447,893.0,152,15,52,2025-01-20
NOLSM32514969,2,Implantation,1.82e+16,6.32e+16,6.9e+17,3.01e+17,6e+17,31153.746,103.622,927.0,154,15,53,2025-01-20
NOLSM32514970,3,Implantation,1.3e+16,1.49e+17,6.14e+17,3.02e+17,6e+17,32181.249,104.54,906.0,156,15,54,2025-01-20
