No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Target,Error_message,group_id,error_class,wafer_map_truncated,oxidation_sentinel_flag,photo_softbake_sentinel_flag,photo_litho_sentinel_flag,etching_sentinel_flag,ion_implant_sentinel_flag,any_process_sentinel_flag,oxidation_rate_nm_per_min,oxid_thickness_spec_gap,oxid_below_spec,cd_resolution_ratio,exposure_energy_per_cd_nm,line_cd_band_gap,line_cd_out_of_band,total_etch_removal,etch_rate_stage1,etch_rate_stage2,etch_rate_stage3,total_flux_60_480,anneal_temp_diff
NOLSM32514661,2,Photo,1.659,16.274,15.245,19.831,202.362,89.966,495.509,4010.216,5169.255,5.164,91.136,29.972,11,45,2025-01-16,2,photo_li,30.266,I,365,470.358,106.566,3,Etching,304.0,1544.0,3625.0,5728.0,69.316,51.044,0.982,3,Implantation,7640000000000000.0,1.59e+17,5.85e+17,2.97e+17,6e+17,31566.304,104.052,886.0,153,1,Oxidation,dry,1298.39,O2,28.95,0.27,117,713.44,48,none,11_45,none,False,False,False,False,False,False,False,6.097777777777778,-13.440000000000055,0,0.06434673163845411,3.5209806383400517,0.0,0,5424.0,2103.0,2081.0,1240.0,1.04864e+18,733.0
NOLSM32514662,2,Photo,1.269,17.302,15.087,20.077,202.741,89.907,494.41,4022.608,4859.072,5.009,90.65,30.116,11,46,2025-01-16,3,photo_li,46.152,H,405,460.929,107.902,1,Etching,433.0,1564.0,3655.0,5703.0,70.232,50.7,1.048,1,Implantation,1.8e+16,1.82e+17,5.51e+17,3.01e+17,6e+17,29985.99,101.273,923.0,155,1,Oxidation,dry,1047.62,O2,34.93,0.26,167,712.53,15,none,11_46,none,False,False,False,False,False,False,False,4.266646706586826,-12.529999999999973,0,0.10012821931360362,2.3379701854740857,0.0,0,5270.0,2048.0,2091.0,1131.0,1.052e+18,768.0
NOLSM32514663,2,Photo,1.92,16.13,14.806,19.966,202.871,89.869,498.066,4063.097,4941.858,5.072,90.052,30.133,11,47,2025-01-16,3,photo_li,56.133,I,365,472.847,108.512,2,Etching,233.0,1461.0,3677.0,5682.0,69.777,49.764,1.038,2,Implantation,1.12e+16,1.09e+17,4.84e+17,3.01e+17,6e+17,31292.669,102.421,888.0,154,1,Oxidation,wet,1019.34,H2O,35.0,0.15,99,714.37,121,none,11_47,none,False,False,False,False,False,False,False,7.2158585858585855,-14.370000000000005,0,0.1187128183112085,1.9331231183083033,1.1330000000000027,1,5449.0,2005.0,2216.0,1228.0,9.052e+17,734.0
NOLSM32514664,2,Photo,0.656,19.011,15.007,19.983,199.264,89.885,505.865,3981.479,4933.462,4.856,94.143,30.154,11,48,2025-01-16,3,photo_li,50.728,I,365,474.057,106.449,3,Etching,240.0,1559.0,3656.0,5703.0,71.18,50.189,0.89,3,Implantation,1.81e+16,1.51e+17,5.61e+17,2.99e+17,6e+17,32226.698,102.567,936.0,153,1,Oxidation,wet,1104.73,H2O,28.78,0.27,110,715.31,96,none,11_48,none,False,False,False,False,False,False,False,6.502818181818181,-15.309999999999945,0,0.10700822896824644,2.0984269042737735,0.0,0,5463.0,2047.0,2097.0,1319.0,1.0291e+18,783.0
NOLSM32514665,2,Photo,1.723,18.76,15.1,19.844,198.121,89.986,502.462,4062.564,5012.896,5.066,88.503,30.094,11,49,2025-01-16,3,photo_li,47.307,I,365,472.107,109.635,1,Etching,319.0,1534.0,3652.0,5714.0,70.391,51.806,0.948,1,Implantation,1.26e+16,8.18e+16,1.02e+18,3.02e+17,6e+17,32025.337,105.097,924.0,157,1,Oxidation,dry,1181.4,O2,33.11,0.23,110,713.21,89,none,11_49,none,False,False,False,False,False,False,False,6.483727272727273,-13.210000000000036,0,0.10020397918268528,2.3175217198300464,0.0,0,5395.0,2062.0,2118.0,1215.0,1.4164e+18,767.0
NOLSM32514666,2,Photo,1.588,13.871,14.889,19.881,199.923,89.904,502.725,3999.152,5045.281,4.96,90.68,29.922,11,50,2025-01-16,3,photo_li,18.202,I,365,472.945,108.736,2,Etching,589.0,1507.0,3674.0,5703.0,70.403,51.064,1.216,2,Implantation,1.3e+16,1.76e+17,6.91e+17,3e+17,6e+17,31834.782,101.353,919.0,152,1,Oxidation,wet,923.22,H2O,30.82,0.31,74,714.42,110,none,11_50,none,False,False,False,False,False,False,False,9.654324324324325,-14.419999999999959,0,0.03848650477328231,5.973849027579386,6.797999999999998,1,5114.0,2029.0,2167.0,918.0,1.18e+18,767.0
NOLSM32514667,2,Photo,0.997,18.752,14.955,19.981,199.699,89.966,502.131,4127.919,4946.665,5.11,93.593,29.956,11,51,2025-01-16,3,photo_li,40.943,H,405,477.808,107.794,3,Etching,363.0,1454.0,3645.0,5721.0,72.544,51.178,1.157,3,Implantation,1.11e+16,1.32e+17,6.29e+17,3.01e+17,6e+17,33675.575,102.956,911.0,157,1,Oxidation,dry,1092.83,O2,35.37,0.22,132,710.26,118,none,11_51,none,False,False,False,False,False,False,False,5.380757575757576,-10.259999999999991,0,0.08568923082074809,2.6327821605646875,0.0,0,5358.0,2076.0,2191.0,1091.0,1.0731e+18,754.0
NOLSM32514668,2,Photo,1.734,20.68,14.997,20.018,199.734,89.978,499.202,4005.815,4910.413,4.951,91.542,30.079,11,52,2025-01-16,3,photo_li,33.905,G,436,470.383,108.0,1,Etching,315.0,1507.0,3711.0,5706.0,69.938,50.07,1.088,1,Implantation,1.53e+16,1.23e+17,2.97e+17,3.02e+17,6e+17,31139.163,104.928,915.0,153,1,Oxidation,wet,1021.74,H2O,34.34,0.27,212,710.72,187,none,11_52,none,False,False,False,False,False,False,False,3.3524528301886796,-10.720000000000027,0,0.0720795606984096,3.185370889249373,0.0,0,5391.0,1995.0,2204.0,1192.0,7.373e+17,762.0
NOLSM32514669,2,Photo,1.005,11.428,15.132,20.019,196.455,90.211,505.691,4021.768,5007.908,5.151,92.607,30.006,11,53,2025-01-16,3,photo_li,45.451,I,365,468.918,108.343,2,Etching,573.0,1365.0,3651.0,5719.0,70.339,51.174,1.139,2,Implantation,1.62e+16,9.05e+16,3.45e+17,2.99e+17,6e+17,31366.698,103.29,875.0,152,1,Oxidation,dry,1157.46,O2,32.79,0.26,14,711.69,117,none,11_53,none,False,False,False,False,False,False,False,50.835,-11.690000000000055,0,0.09692739455512478,2.383731931090625,0.0,0,5146.0,2068.0,2286.0,792.0,7.507e+17,723.0
NOLSM32514670,2,Photo,1.273,15.244,14.901,20.098,203.725,90.13,494.951,3976.42,4948.281,5.057,91.772,30.007,11,54,2025-01-16,3,photo_li,55.549,H,405,469.473,108.967,3,Etching,422.0,1512.0,3624.0,5741.0,71.118,51.35,1.135,3,Implantation,1.83e+16,-2.77e+16,1.05e+18,3e+17,6e+17,31408.837,103.261,902.0,156,1,Oxidation,dry,1262.36,O2,34.79,0.2,98,710.08,76,none,11_54,none,False,False,False,False,False,True,True,7.245714285714286,-10.080000000000041,0,0.11832203342897248,1.9616374732218402,0.5489999999999995,1,5319.0,2117.0,2112.0,1090.0,1.3406e+18,746.0
NOLSM32514671,1,Photo,0.85,13.86,14.827,20.044,203.683,89.977,503.707,4074.428,5092.956,5.102,93.84,29.885,31,28,2025-01-16,1,photo_li,26.289,I,365,461.994,106.82,1,Etching,246.0,1526.0,3640.0,5710.0,71.692,50.823,1.027,1,Implantation,1.46e+16,8020000000000000.0,7.3e+17,2.98e+17,6e+17,32341.709,101.918,913.0,153,2,Oxidation,wet,1291.36,H2O,44.48,0.25,21,717.53,18,none,31_28,none,False,False,False,False,False,False,False,34.16809523809523,-17.529999999999973,0,0.05690333640696632,4.063296435771615,0.0,0,5464.0,2070.0,2114.0,1280.0,1.05062e+18,760.0
NOLSM32514672,1,Photo,0.804,11.29,15.076,19.899,203.933,90.154,503.966,4082.024,5102.667,5.199,93.56,29.955,31,29,2025-01-16,1,photo_li,32.699,I,365,472.597,106.371,2,Etching,150.0,1481.0,3641.0,5711.0,70.95,50.852,1.125,2,Implantation,2.06e+16,1.67e+17,1.01e+18,2.98e+17,6e+17,32566.305,101.854,912.0,153,2,Oxidation,wet,1282.84,H2O,44.62,0.16,20,707.81,126,none,31_29,none,False,False,False,False,False,False,False,35.390499999999996,-7.809999999999945,0,0.06919002871368206,3.2530352610171565,0.0,0,5561.0,2070.0,2160.0,1331.0,1.4956e+18,759.0
NOLSM32514673,1,Photo,1.221,13.808,14.933,19.942,203.66,90.01,503.997,4073.958,5092.442,5.131,93.413,29.911,31,30,2025-01-16,1,photo_li,28.375,I,365,467.135,106.432,3,Etching,232.0,1588.0,3642.0,5699.0,71.065,50.677,1.061,3,Implantation,1.51e+16,6.7e+16,8.89e+17,3e+17,6e+17,32645.496,101.458,913.0,153,2,Oxidation,wet,1280.61,H2O,44.75,0.2,17,711.27,96,none,31_30,none,False,False,False,False,False,False,False,41.83941176470588,-11.269999999999982,0,0.06074261187879307,3.750907488986784,0.0,0,5467.0,2057.0,2054.0,1356.0,1.2711e+18,760.0
NOLSM32514674,1,Photo,1.634,14.616,14.903,20.038,203.624,89.946,503.611,4072.8,5090.925,5.158,92.972,29.864,31,31,2025-01-16,1,photo_li,23.87,I,365,474.461,105.086,1,Etching,237.0,1441.0,3640.0,5725.0,70.449,50.285,0.947,1,Implantation,1.31e+16,1.31e+17,6.2e+17,3e+17,6e+17,32462.116,100.455,899.0,151,2,Oxidation,wet,1274.82,H2O,44.69,0.27,19,704.46,114,none,31_31,none,False,False,False,False,False,False,False,37.07684210526316,-4.460000000000036,0,0.05030971987160167,4.402429828236279,1.129999999999999,1,5488.0,2085.0,2199.0,1204.0,1.0641e+18,748.0
NOLSM32514675,1,Photo,1.178,20.817,15.004,20.244,202.132,89.958,501.915,4041.474,5051.938,5.014,93.788,30.049,31,32,2025-01-16,1,photo_li,34.627,I,365,477.234,106.567,2,Etching,124.0,1441.0,3622.0,5716.0,69.51,50.257,1.007,2,Implantation,1.92e+16,1.66e+17,9830000000000000.0,3e+17,6e+17,32643.145,100.72,912.0,151,2,Oxidation,wet,1268.69,H2O,44.47,0.19,14,695.89,54,none,31_32,none,False,False,False,False,False,False,False,49.70642857142857,4.110000000000014,1,0.0725576970626569,3.077569526669939,0.0,0,5592.0,2094.0,2181.0,1317.0,4.9503e+17,761.0
NOLSM32514676,1,Photo,1.266,20.804,14.914,19.983,203.419,89.942,503.431,4068.9,5086.008,5.023,93.449,29.918,31,33,2025-01-16,1,photo_li,44.451,I,365,490.568,106.455,3,Etching,263.0,1402.0,3641.0,5689.0,71.202,50.689,0.971,3,Implantation,7730000000000000.0,2.08e+16,3050000000000000.0,3.01e+17,6e+17,32152.284,101.713,913.0,153,2,Oxidation,wet,1281.41,H2O,44.48,-0.01,19,712.02,84,none,31_33,none,False,True,False,False,False,False,True,37.474736842105266,-12.019999999999982,0,0.09061129140098825,2.3948842545724505,0.0,0,5426.0,2048.0,2239.0,1139.0,3.3258e+17,760.0
NOLSM32514677,1,Photo,1.805,17.198,14.861,20.162,203.544,89.879,503.463,4070.039,5087.549,5.235,93.553,30.279,31,34,2025-01-16,1,photo_li,31.453,I,365,476.172,106.125,1,Etching,150.0,1372.0,3631.0,5700.0,70.746,50.518,1.009,1,Implantation,7460000000000000.0,7.43e+16,2.06e+17,3e+17,6e+17,32326.293,101.448,908.0,152,2,Oxidation,wet,1282.29,H2O,44.49,0.1,19,705.83,30,none,31_34,none,False,False,False,False,False,False,False,37.148947368421055,-5.830000000000041,0,0.06605386288988012,3.374081963564684,0.0,0,5550.0,2069.0,2259.0,1222.0,5.8776e+17,756.0
NOLSM32514678,1,Photo,1.754,17.38,14.967,19.93,203.016,89.992,503.206,4064.585,5080.91,5.066,93.454,29.778,31,35,2025-01-16,1,photo_li,33.577,I,365,480.44,106.058,2,Etching,174.0,1446.0,3638.0,5684.0,71.04,50.501,0.957,2,Implantation,3490000000000000.0,262999999999999.9,1240000000000.002,3.01e+17,6e+17,32037.611,101.285,908.0,152,2,Oxidation,wet,1276.9,H2O,44.62,0.16,17,710.7,48,none,31_35,none,False,False,False,False,False,False,False,41.80588235294118,-10.700000000000045,0,0.06988801931562734,3.158650266551509,0.0,0,5510.0,2046.0,2192.0,1272.0,3.0475424e+17,756.0
NOLSM32514679,1,Photo,1.581,16.07,14.968,20.003,202.733,90.1,502.937,4057.104,5071.365,5.015,92.966,30.195,31,36,2025-01-16,1,photo_li,25.61,I,365,472.167,105.44,3,Etching,140.0,1281.0,3635.0,5697.0,71.04,50.394,0.982,3,Implantation,1.51e+16,2.07e+16,51999999999999.89,3.02e+17,6e+17,32030.809,100.502,903.0,151,2,Oxidation,wet,1291.84,H2O,44.55,0.13,18,710.51,15,none,31_36,none,False,False,False,False,False,False,False,39.47277777777778,-10.509999999999991,0,0.05423928398215039,4.117141741507224,0.0,0,5557.0,2062.0,2354.0,1141.0,3.37852e+17,752.0
NOLSM32514680,1,Photo,0.881,19.017,14.89,20.005,202.408,89.945,502.186,4047.534,5059.468,5.105,93.159,29.971,31,37,2025-01-16,2,photo_li,24.669,I,365,477.711,104.566,1,Etching,119.0,1369.0,3637.0,5693.0,71.259,49.963,0.919,1,Implantation,4240000000000000.0,2.63e+16,1.8e+17,3e+17,6e+17,32173.069,100.333,906.0,150,2,Oxidation,wet,1276.15,H2O,44.51,0.17,17,713.91,9,none,31_37,none,False,False,False,False,False,False,False,41.99470588235294,-13.909999999999968,0,0.0516400082895307,4.238761198265029,0.3309999999999995,1,5574.0,2056.0,2268.0,1250.0,5.1054e+17,756.0
NOLSM32514681,1,Photo,1.511,18.797,15.02,20.091,201.984,89.914,502.138,4040.654,5050.79,4.879,92.948,30.066,31,38,2025-01-16,2,photo_li,31.503,I,365,482.978,105.244,2,Etching,204.0,1428.0,3658.0,5701.0,70.875,49.817,0.933,2,Implantation,5950000000000000.0,4.86e+16,2.28e+17,3.01e+17,6e+17,32172.883,99.633,906.0,149,2,Oxidation,wet,1277.37,H2O,44.57,0.1,19,707.43,111,none,31_38,none,False,False,False,False,False,False,False,37.23315789473684,-7.42999999999995,0,0.06522657346711444,3.3407611973462843,0.0,0,5497.0,2043.0,2230.0,1224.0,5.8355e+17,757.0
NOLSM32514682,1,Photo,0.874,13.719,14.933,20.064,202.435,89.947,502.452,4048.325,5060.349,5.083,92.527,30.023,31,39,2025-01-16,2,photo_li,33.885,I,365,492.993,104.779,3,Etching,236.0,1372.0,3645.0,5692.0,70.504,50.036,1.035,3,Implantation,1.14e+16,1.1e+17,1.13e+17,3.01e+17,6e+17,32187.535,100.25,902.0,150,2,Oxidation,wet,1275.5,H2O,44.67,-0.07,19,705.9,129,none,31_39,none,False,True,False,False,False,False,True,37.152631578947364,-5.899999999999977,0,0.06873322744947696,3.092194186218091,0.0,0,5456.0,2047.0,2273.0,1136.0,5.354e+17,752.0
NOLSM32514683,1,Photo,0.899,18.7,14.982,19.921,201.636,89.962,501.675,4032.565,5040.922,4.869,92.408,30.043,31,40,2025-01-16,2,photo_li,34.958,I,365,485.411,105.585,1,Etching,151.0,1369.0,3656.0,5705.0,70.926,49.877,0.964,1,Implantation,1.59e+16,1.59e+17,261000000000000.0,2.99e+17,6e+17,32191.728,99.535,902.0,150,2,Oxidation,wet,1281.33,H2O,44.57,0.36,18,710.66,54,none,31_40,none,False,False,False,False,False,False,False,39.48111111111111,-10.659999999999968,0,0.07201732140392368,3.0203386921448594,0.0,0,5554.0,2049.0,2287.0,1218.0,4.74161e+17,752.0
NOLSM32514684,1,Photo,1.549,20.549,14.927,20.055,201.206,89.891,501.241,4026.818,5033.308,5.193,92.093,30.041,31,41,2025-01-16,2,photo_li,30.884,I,365,487.487,104.844,2,Etching,207.0,1402.0,3646.0,5683.0,70.294,50.089,1.131,2,Implantation,6790000000000000.0,5.74e+16,4.03e+17,3.01e+17,6e+17,32188.705,100.157,902.0,150,2,Oxidation,wet,1276.8,H2O,44.83,0.21,21,703.71,84,none,31_41,none,False,False,False,False,False,False,False,33.510000000000005,-3.7100000000000364,0,0.06335348429804281,3.3947675171609895,0.0,0,5476.0,2037.0,2244.0,1195.0,7.6819e+17,752.0
NOLSM32514685,1,Photo,1.745,11.112,15.014,19.995,200.524,90.028,500.752,4014.432,5017.781,5.184,92.117,30.019,31,42,2025-01-16,2,photo_li,28.55,I,365,471.692,105.777,3,Etching,212.0,1427.0,3648.0,5700.0,69.723,49.989,1.096,3,Implantation,1.93e+16,1.93e+17,6.53e+17,3e+17,6e+17,32183.843,99.83,896.0,150,2,Oxidation,wet,1267.33,H2O,44.77,0.26,20,699.26,30,none,31_42,none,False,False,False,False,False,False,False,34.963,0.7400000000000091,1,0.060526784427126175,3.704973730297723,0.0,0,5488.0,2052.0,2221.0,1215.0,1.1653e+18,746.0
NOLSM32514686,1,Photo,1.6,15.287,14.94,20.002,201.211,89.93,501.269,4024.665,5030.644,5.226,91.955,29.898,31,43,2025-01-16,2,photo_li,27.46,I,365,480.146,104.847,1,Etching,218.0,1343.0,3655.0,5699.0,71.121,50.238,1.092,1,Implantation,7620000000000000.0,3.73e+16,2.32e+16,3.01e+17,6e+17,32181.021,100.399,885.0,151,2,Oxidation,wet,1281.3,H2O,44.77,0.2,21,711.81,48,none,31_43,none,False,False,False,False,False,False,False,33.895714285714284,-11.809999999999945,0,0.05719093775643242,3.8181718863801892,0.0,0,5481.0,2044.0,2312.0,1125.0,3.6912e+17,734.0
NOLSM32514687,1,Photo,0.792,12.656,14.838,20.035,200.462,89.877,500.143,4006.507,5008.084,4.996,91.907,30.097,31,44,2025-01-16,2,photo_li,26.403,I,365,469.053,105.538,2,Etching,177.0,1343.0,3655.0,5693.0,70.185,49.97,1.046,2,Implantation,1.1e+16,1.08e+17,1.06e+17,3.01e+17,6e+17,32264.058,99.899,889.0,150,2,Oxidation,wet,1284.77,H2O,44.9,0.05,20,701.22,15,none,31_44,none,False,False,False,False,False,False,False,35.061,-1.2200000000000273,0,0.056290014134863224,3.9971972881869484,0.0,0,5516.0,2038.0,2312.0,1166.0,5.26e+17,739.0
NOLSM32514688,1,Photo,0.76,19.753,15.065,19.993,200.667,90.083,500.79,4015.714,5019.677,5.02,92.254,29.895,31,45,2025-01-16,2,photo_li,33.216,I,365,483.218,105.566,3,Etching,221.0,1417.0,3643.0,5736.0,71.112,49.963,0.933,3,Implantation,2800000000000000.0,2.74e+16,1.08e+17,3e+17,6e+17,32264.218,100.01,886.0,150,2,Oxidation,wet,1274.72,H2O,44.76,0.19,21,712.57,51,none,31_45,none,False,False,False,False,False,False,False,33.93190476190476,-12.57000000000005,0,0.06873916120674313,3.178167148362235,0.0,0,5515.0,2093.0,2226.0,1196.0,4.382e+17,736.0
NOLSM32514689,1,Photo,1.707,15.959,15.011,20.053,200.84,89.993,500.739,4017.438,5021.91,5.023,93.07,29.988,31,46,2025-01-16,3,photo_li,22.473,I,365,470.351,105.167,1,Etching,175.0,1359.0,3646.0,5719.0,71.711,50.177,0.834,1,Implantation,1.96e+16,864000000000000.1,77500000000000.2,2.99e+17,6e+17,32359.723,100.425,884.0,151,2,Oxidation,wet,1285.28,H2O,45.09,0.24,22,716.63,18,none,31_46,none,False,False,False,False,False,False,False,32.574090909090906,-16.629999999999995,0,0.04777921169509579,4.679704534330085,2.527000000000001,1,5544.0,2073.0,2287.0,1184.0,3.195415e+17,733.0
NOLSM32514690,1,Photo,1.234,17.785,14.949,20.036,202.145,90.002,502.114,4041.212,5051.534,5.161,91.645,29.948,31,47,2025-01-16,3,photo_li,27.098,I,365,473.157,105.131,2,Etching,202.0,1709.0,3631.0,5700.0,70.211,49.84,0.851,2,Implantation,1.97e+16,1.27e+17,1.18e+18,2.99e+17,6e+17,32362.222,99.328,886.0,149,2,Oxidation,wet,1288.64,H2O,44.93,0.32,22,702.34,12,none,31_47,none,False,False,False,False,False,False,False,31.924545454545456,-2.340000000000032,0,0.05727063110130464,3.8796590154254926,0.0,0,5498.0,2069.0,1922.0,1507.0,1.6257e+18,737.0
NOLSM32514691,1,Photo,1.187,16.49,14.948,20.089,200.653,90.034,500.704,4014.605,5018.487,5.016,92.812,30.028,31,48,2025-01-16,3,photo_li,34.77,I,365,479.177,106.268,3,Etching,313.0,1468.0,3663.0,5722.0,71.483,50.358,0.982,3,Implantation,2e+16,1.08e+17,4.51e+17,3.02e+17,6e+17,32358.163,101.058,868.0,152,2,Oxidation,wet,1279.55,H2O,44.98,0.28,22,715.45,159,none,31_48,none,False,False,False,False,False,False,False,32.52045454545455,-15.450000000000045,0,0.07256191344743175,3.0563129134311184,0.0,0,5409.0,2059.0,2195.0,1155.0,8.81e+17,716.0
NOLSM32514692,1,Photo,1.672,14.567,15.01,20.023,202.357,90.049,502.398,4049.061,5061.51,5.155,93.246,29.965,31,49,2025-01-16,3,photo_li,30.729,I,365,472.271,106.331,1,Etching,224.0,1466.0,3645.0,5723.0,70.399,50.322,0.934,1,Implantation,1.29e+16,1.21e+17,4.61e+17,2.98e+17,6e+17,32353.183,101.084,869.0,152,2,Oxidation,wet,1281.84,H2O,44.71,0.26,24,704.09,54,none,31_49,none,False,False,False,False,False,False,False,29.337083333333336,-4.090000000000032,0,0.06506645548848013,3.4602818184776596,0.0,0,5499.0,2078.0,2179.0,1242.0,8.929e+17,717.0
NOLSM32514693,1,Photo,1.919,20.759,14.99,20.02,203.085,89.751,503.273,4064.287,5080.319,5.096,93.159,30.188,31,50,2025-01-16,3,photo_li,33.887,I,365,473.447,106.771,2,Etching,333.0,1390.0,3663.0,5730.0,71.718,50.36,1.022,2,Implantation,7340000000000000.0,525999999999999.9,207000000000000.1,3.01e+17,6e+17,32365.699,101.183,869.0,152,2,Oxidation,wet,1285.9,H2O,44.81,0.17,24,695.72,84,none,31_50,none,False,False,False,False,False,False,False,28.988333333333333,4.279999999999973,1,0.07157506542442976,3.1507952902292913,0.0,0,5397.0,2067.0,2273.0,1057.0,3.09073e+17,717.0
NOLSM32514694,1,Photo,1.812,20.67,15.063,19.963,204.134,90.163,504.051,4084.675,5105.767,5.161,94.445,29.895,31,51,2025-01-16,3,photo_li,48.852,I,365,482.371,108.244,3,Etching,269.0,1561.0,3658.0,5741.0,71.545,50.922,0.909,3,Implantation,7360000000000000.0,2.35e+16,2.09e+16,2.99e+17,6e+17,32257.52,102.086,869.0,153,2,Oxidation,wet,1279.08,H2O,44.88,0.28,26,717.92,30,none,31_51,none,False,False,False,False,False,False,False,27.61230769230769,-17.91999999999996,0,0.10127474495771926,2.2157537050683698,0.0,0,5472.0,2083.0,2097.0,1292.0,3.5076e+17,716.0
NOLSM32514695,1,Photo,0.912,15.393,15.133,19.953,205.563,89.971,505.382,4108.032,5135.267,5.134,94.135,29.951,31,52,2025-01-16,3,photo_li,36.078,I,365,469.85,107.299,1,Etching,216.0,1665.0,3656.0,5699.0,71.482,50.993,1.105,1,Implantation,1.19e+16,4.36e+16,3.47e+16,2.98e+17,6e+17,32253.965,102.651,868.0,154,2,Oxidation,wet,1287.29,H2O,44.97,0.42,27,713.57,48,none,31_52,none,False,False,False,False,False,False,False,26.42851851851852,-13.57000000000005,0,0.07678620836437161,2.9740839292643715,0.0,0,5483.0,2043.0,1991.0,1449.0,3.882e+17,714.0
NOLSM32514696,1,Photo,1.495,18.976,15.245,20.041,205.139,89.99,505.028,4100.496,5125.683,4.991,93.59,29.934,31,53,2025-01-16,3,photo_li,39.751,I,365,480.556,107.489,2,Etching,236.0,1573.0,3662.0,5717.0,72.128,50.887,0.954,2,Implantation,4190000000000000.0,1230000000000000.0,11044952.406,3.02e+17,6e+17,32254.479,102.189,868.0,153,2,Oxidation,wet,1292.3,H2O,44.95,0.21,25,720.36,15,none,31_53,none,False,False,False,False,False,False,False,28.8144,-20.360000000000014,0,0.08271876742772954,2.704057759553219,0.0,0,5481.0,2055.0,2089.0,1337.0,3.074200000110449e+17,715.0
NOLSM32514697,1,Photo,0.868,17.527,15.039,20.068,204.312,89.972,504.332,4087.219,5109.064,5.21,93.476,29.99,31,54,2025-01-16,3,photo_li,31.142,I,365,471.436,106.509,3,Etching,151.0,1526.0,3664.0,5704.0,71.212,50.63,0.896,3,Implantation,7580000000000000.0,5.16e+16,3.46e+17,2.99e+17,6e+17,32255.619,102.382,868.0,153,2,Oxidation,wet,1290.61,H2O,44.71,0.14,26,711.9,207,[['Near-full']],31_54,Near-full,False,False,False,False,False,False,False,27.38076923076923,-11.899999999999977,0,0.06605774696883565,3.4201078928777857,0.0,0,5553.0,2040.0,2138.0,1375.0,7.0418e+17,715.0
NOLSM32514698,2,Photo,1.372,12.496,15.18,20.072,200.22,89.793,498.221,4041.952,5032.177,5.284,90.529,29.886,11,1,2025-01-16,3,photo_li,53.392,I,365,543.016,107.911,3,Etching,398.0,1662.0,3692.0,5726.0,71.11,51.818,1.098,3,Implantation,1.15e+16,1.29e+17,8.39e+17,3.02e+17,6e+17,32089.322,100.6,888.0,156,3,Oxidation,dry,1165.65,O2,40.25,0.21,195,709.89,221,[['Edge-Ring']],11_1,Edge-Ring,True,False,False,False,False,False,False,3.640461538461538,-9.889999999999986,0,0.09832491123650133,2.0211080311657175,0.0,0,5328.0,2034.0,2030.0,1264.0,1.2815e+18,732.0
NOLSM32514699,3,Photo,0.796,17.723,15.114,20.017,202.081,89.979,497.72,4074.394,5183.526,4.838,92.734,29.881,11,2,2025-01-16,1,photo_li,48.163,I,365,508.42,105.0,3,Etching,330.0,1398.0,3661.0,5740.0,69.906,51.668,1.056,3,Implantation,1.41e+16,1.18e+17,1.23e+18,3e+17,6e+17,31101.314,104.667,890.0,153,3,Oxidation,dry,1033.56,O2,32.3,0.18,86,706.09,84,none,11_2,none,False,False,False,False,False,False,False,8.210348837209303,-6.090000000000032,0,0.09473073443216237,2.1800967547702594,0.0,0,5410.0,2079.0,2263.0,1068.0,1.6621e+18,737.0
NOLSM32514700,3,Photo,1.166,15.005,14.999,20.164,204.704,89.929,502.536,4027.428,4962.983,4.987,88.865,29.865,11,3,2025-01-16,2,photo_li,47.046,G,436,506.426,108.989,2,Etching,324.0,1513.0,3654.0,5719.0,70.921,50.279,0.98,2,Implantation,1.11e+16,5.08e+16,4.17e+17,3e+17,6e+17,31101.077,102.137,888.0,154,3,Oxidation,dry,1063.16,O2,43.17,0.35,101,707.13,56,none,11_3,none,False,False,False,False,False,False,False,7.001287128712871,-7.1299999999999955,0,0.09289807395354899,2.316647536453684,0.0,0,5395.0,2065.0,2141.0,1189.0,7.789e+17,734.0
NOLSM32514701,3,Photo,0.893,16.721,14.987,19.872,197.218,89.909,500.38,4088.729,4992.822,4.859,91.691,29.888,11,4,2025-01-16,3,photo_li,42.547,H,405,508.877,109.088,1,Etching,146.0,1274.0,3658.0,5714.0,71.45,51.28,1.118,1,Implantation,7590000000000000.0,4.08e+16,4.13e+17,2.98e+17,6e+17,31914.591,103.846,904.0,153,3,Oxidation,wet,960.0,H2O,27.09,0.26,20,705.26,37,none,11_4,none,False,False,False,False,False,False,False,35.263,-5.259999999999991,0,0.08360959524600246,2.563941053423273,0.0,0,5568.0,2056.0,2384.0,1128.0,7.5939e+17,751.0
